Conformation,LigandName,AD_BindingEnergy,VN_BindingEnergy, Average_Energy
conformation01,av0001,-4.64,-7.68435,-6.1621749999999995
conformation09,ad0003,-4.53,-3.12322,-3.82661
conformation10,ad0010,-5.48,-4.59816,-5.03908
conformation06,sw0007,-3.38,-3.95905,-3.669525
conformation05,ad0002,-4.71,-2.06096,-3.3854800000000003
conformation04,ad0004,-4.54,-3.17857,-3.859285
conformation03,ad0008,-4.74,-2.42657,-3.583285
conformation07,sw0006,-3.69,-5.01586,-4.35293
conformation11,sw0001,-4.30,-4.89668,-4.59834
conformation08,ad0006,-5.41,-2.57884,-3.99442
conformation02,sw0008,-3.23,-3.72823,-3.479115
