Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
conf02,sw0008,frame02,-2.98,-4.06194,-3.521
conf02,sw0008,frame09,-4.37,-4.51857,-4.444
conf02,sw0008,frame08,-3.31,-4.5656,-3.938
conf02,sw0008,frame06,-2.93,-3.56113,-3.246
conf02,sw0008,frame05,-3.08,-3.70269,-3.391
conf02,sw0008,frame07,-3.38,-4.34791,-3.864
conf02,sw0008,frame00,-4.11,-4.135,-4.123
conf02,sw0008,frame01,-3.83,-4.23466,-4.032
conf02,sw0008,frame04,-2.45,-3.64533,-3.048
conf02,sw0008,frame03,-3.52,-3.78024,-3.65
conf04,ad0004,frame02,-2.69,-3.12588,-2.908
conf04,ad0004,frame09,-3.84,-3.64191,-3.741
conf04,ad0004,frame08,-3.99,-4.13624,-4.063
conf04,ad0004,frame06,-4.49,-4.37966,-4.435
conf04,ad0004,frame05,-3.51,-3.77856,-3.644
conf04,ad0004,frame07,-4.32,-3.67511,-3.998
conf04,ad0004,frame00,-3.73,-3.07301,-3.402
conf04,ad0004,frame01,-4.11,-3.23593,-3.673
conf04,ad0004,frame04,-2.86,-3.02946,-2.945
conf04,ad0004,frame03,-3.98,-3.82425,-3.902
conf09,ad0003,frame02,-2.11,-3.02889,-2.569
conf09,ad0003,frame09,-4.42,-4.09526,-4.258
conf09,ad0003,frame08,-3.46,-3.62735,-3.544
conf09,ad0003,frame06,-1.84,-2.62038,-2.23
conf09,ad0003,frame05,-1.63,-2.74183,-2.186
conf09,ad0003,frame07,-5.01,-4.66268,-4.836
conf09,ad0003,frame00,-4.45,-3.70028,-4.075
conf09,ad0003,frame01,-2.44,-3.16382,-2.802
conf09,ad0003,frame04,-3.22,-3.41295,-3.316
conf09,ad0003,frame03,-3.73,-3.49548,-3.613
conf11,sw0001,frame02,-1.94,-2.47885,-2.209
conf11,sw0001,frame09,-0.71,-0.98845,-0.849
conf11,sw0001,frame08,-0.94,-1.18064,-1.06
conf11,sw0001,frame06,-0.36,-0.95584,-0.658
conf11,sw0001,frame05,-1.0,-1.33281,-1.166
conf11,sw0001,frame07,-0.13,-0.87667,-0.503
conf11,sw0001,frame00,-1.61,-2.52496,-2.067
conf11,sw0001,frame01,-2.35,-2.81078,-2.58
conf11,sw0001,frame04,-2.41,-3.24746,-2.829
conf11,sw0001,frame03,-1.71,-2.20682,-1.958
conf01,av0001,frame02,-4.91,-6.30576,-5.608
conf01,av0001,frame09,-4.88,-5.90492,-5.392
conf01,av0001,frame08,-6.32,-7.07126,-6.696
conf01,av0001,frame06,-2.73,-4.61771,-3.674
conf01,av0001,frame05,-5.52,-5.68214,-5.601
conf01,av0001,frame07,-3.88,-5.37922,-4.63
