Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
out-namd-complex-ad50,ad50,frame113,0.17,0.0,0.085
out-namd-complex-ad50,ad50,frame135,0.04,-0.20941,-0.085
out-namd-complex-ad50,ad50,frame172,0.22,-0.0294,0.095
out-namd-complex-ad50,ad50,frame173,0.23,-0.02676,0.102
out-namd-complex-ad50,ad50,frame108,0.17,0.0,0.085
out-namd-complex-ad50,ad50,frame70,0.36,-0.03345,0.163
out-namd-complex-ad50,ad50,frame149,0.19,-0.00307,0.093
out-namd-complex-ad50,ad50,frame185,0.22,-0.01992,0.1
out-namd-complex-ad50,ad50,frame61,0.18,-0.10572,0.037
out-namd-complex-ad50,ad50,frame18,-5.22,-3.86834,-4.544
out-namd-complex-ad50,ad50,frame184,0.13,0.0,0.065
out-namd-complex-ad50,ad50,frame46,-1.8,-1.83651,-1.818
out-namd-complex-ad50,ad50,frame51,-0.35,-0.76525,-0.558
out-namd-complex-ad50,ad50,frame147,0.18,-0.01488,0.083
out-namd-complex-ad50,ad50,frame144,0.17,0.0,0.085
out-namd-complex-ad50,ad50,frame93,0.29,-0.01324,0.138
out-namd-complex-ad50,ad50,frame82,0.22,-0.04066,0.09
out-namd-complex-ad50,ad50,frame94,0.19,0.0,0.095
out-namd-complex-ad50,ad50,frame146,0.19,0.0,0.095
out-namd-complex-ad50,ad50,frame76,0.22,0.0,0.11
out-namd-complex-ad50,ad50,frame197,0.23,-0.01733,0.106
out-namd-complex-ad50,ad50,frame31,-4.59,-4.31119,-4.451
out-namd-complex-ad50,ad50,frame157,0.24,0.0,0.12
out-namd-complex-ad50,ad50,frame92,0.38,0.0,0.19
out-namd-complex-ad50,ad50,frame186,0.18,-0.03533,0.072
out-namd-complex-ad50,ad50,frame75,0.27,-0.06076,0.105
out-namd-complex-ad50,ad50,frame77,0.17,0.0,0.085
out-namd-complex-ad50,ad50,frame103,0.19,-0.04631,0.072
out-namd-complex-ad50,ad50,frame125,0.14,0.0,0.07
out-namd-complex-ad50,ad50,frame136,0.21,-0.03145,0.089
out-namd-complex-ad50,ad50,frame140,0.2,-0.03545,0.082
out-namd-complex-ad50,ad50,frame80,0.18,0.0,0.09
out-namd-complex-ad50,ad50,frame02,-4.77,-4.3806,-4.575
out-namd-complex-ad50,ad50,frame29,-4.42,-3.92341,-4.172
out-namd-complex-ad50,ad50,frame56,0.2,-0.15333,0.023
out-namd-complex-ad50,ad50,frame95,0.19,0.0,0.095
out-namd-complex-ad50,ad50,frame196,0.2,-0.05774,0.071
out-namd-complex-ad50,ad50,frame155,0.15,-0.00753,0.071
out-namd-complex-ad50,ad50,frame26,-4.57,-3.07235,-3.821
out-namd-complex-ad50,ad50,frame195,0.15,-0.02519,0.062
out-namd-complex-ad50,ad50,frame09,-4.25,-3.58159,-3.916
out-namd-complex-ad50,ad50,frame148,0.19,0.0,0.095
out-namd-complex-ad50,ad50,frame199,0.18,-0.04014,0.07
out-namd-complex-ad50,ad50,frame81,0.09,-0.20686,-0.058
