Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
namd-av01,av01,frame00068,-2.71,-3.08773,-2.899
namd-av01,av01,frame00165,0.82,0.0,0.41
namd-av01,av01,frame00086,0.16,0.0,0.08
namd-av01,av01,frame00112,0.13,0.0,0.065
namd-av01,av01,frame01699,0.15,0.0,0.075
namd-av01,av01,frame01600,0.22,0.0,0.11
namd-av01,av01,frame01794,0.16,0.0,0.08
namd-av01,av01,frame01677,0.15,0.0,0.075
namd-av01,av01,frame00458,0.14,0.0,0.07
namd-av01,av01,frame00996,0.16,0.0,0.08
namd-av01,av01,frame00802,0.14,0.0,0.07
namd-av01,av01,frame00875,0.21,0.0,0.105
namd-av01,av01,frame00555,-2.39,-1.54288,-1.966
namd-av01,av01,frame00522,0.19,0.0,0.095
namd-av01,av01,frame00978,0.23,0.0,0.115
namd-av01,av01,frame01230,0.17,0.0,0.085
namd-av01,av01,frame01247,0.21,0.0,0.105
namd-av01,av01,frame00425,0.17,0.0,0.085
namd-av01,av01,frame00452,0.18,0.0,0.09
namd-av01,av01,frame00808,0.88,0.0,0.44
namd-av01,av01,frame00528,0.85,0.0,0.425
namd-av01,av01,frame00972,0.15,0.0,0.075
namd-av01,av01,frame00905,0.23,0.0,0.115
namd-av01,av01,frame00891,0.2,0.0,0.1
namd-av01,av01,frame01340,0.18,0.0,0.09
namd-av01,av01,frame01337,0.16,0.0,0.08
namd-av01,av01,frame00015,-5.51,-5.86069,-5.685
namd-av01,av01,frame00181,-3.84,-4.91331,-4.377
namd-av01,av01,frame00062,-1.65,-2.87231,-2.261
namd-av01,av01,frame00118,0.18,0.0,0.09
namd-av01,av01,frame01770,0.87,0.0,0.435
namd-av01,av01,frame01693,0.23,0.0,0.115
namd-av01,av01,frame01707,0.19,0.0,0.095
namd-av01,av01,frame01034,0.19,0.0,0.095
namd-av01,av01,frame01043,0.22,0.0,0.11
namd-av01,av01,frame01139,0.21,0.0,0.105
namd-av01,av01,frame00751,0.18,0.0,0.09
namd-av01,av01,frame00726,0.2,0.0,0.1
namd-av01,av01,frame01404,0.17,0.0,0.085
namd-av01,av01,frame01590,0.24,0.0,0.12
namd-av01,av01,frame01829,0.2,0.0,0.1
namd-av01,av01,frame01473,0.15,0.0,0.075
namd-av01,av01,frame01953,0.23,0.0,0.115
namd-av01,av01,frame01509,0.16,0.0,0.08
namd-av01,av01,frame01924,0.19,0.0,0.095
namd-av01,av01,frame00361,0.92,0.0,0.46
namd-av01,av01,frame00282,0.18,0.0,0.09
namd-av01,av01,frame00316,0.17,0.0,0.085
namd-av01,av01,frame01823,0.23,0.0,0.115
namd-av01,av01,frame01479,0.17,0.0,0.085
namd-av01,av01,frame01854,0.18,0.0,0.09
namd-av01,av01,frame01574,0.15,0.0,0.075
namd-av01,av01,frame01959,0.17,0.0,0.085
namd-av01,av01,frame01497,0.18,0.0,0.09
namd-av01,av01,frame01503,0.2,0.0,0.1
namd-av01,av01,frame00288,0.16,0.0,0.08
namd-av01,av01,frame00211,0.15,0.0,0.075
