Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -4017.69      -621.183      -4638.87      -4638.87      
1             1             -4152.89      -607.004      -4759.9       -4759.9       
2             2             -3995.19      -543.265      -4538.45      -4538.45      
3             3             -4135.31      -575.529      -4710.84      -4710.84      
4             4             -3979.12      -618.985      -4598.11      -4598.11      
5             5             -4029.77      -634.528      -4664.3       -4664.3       
6             6             -4038.62      -573.826      -4612.44      -4612.44      
7             7             -4059.31      -568.783      -4628.09      -4628.09      
8             8             -4025.9       -579.342      -4605.25      -4605.25      
9             9             -3957.99      -603.559      -4561.55      -4561.55      
10            10            -4064.68      -604.684      -4669.36      -4669.36      
11            11            -4106.75      -584.869      -4691.62      -4691.62      
12            12            -4144.93      -646.74       -4791.67      -4791.67      
13            13            -4058.7       -595.098      -4653.8       -4653.8       
14            14            -4025.62      -614.95       -4640.57      -4640.57      
15            15            -4048.14      -589.783      -4637.93      -4637.93      
16            16            -3993.86      -598.392      -4592.25      -4592.25      
17            17            -3953.63      -574.424      -4528.06      -4528.06      
18            18            -4084.97      -554.886      -4639.85      -4639.85      
19            19            -4024.41      -603.216      -4627.63      -4627.63      
20            20            -3992.35      -589.088      -4581.43      -4581.43      
21            21            -4066.97      -613.63       -4680.6       -4680.6       
22            22            -4045.14      -604.982      -4650.13      -4650.13      
23            23            -4139.37      -572.91       -4712.28      -4712.28      
24            24            -4228.76      -598.565      -4827.32      -4827.32      
25            25            -4273.96      -567.379      -4841.34      -4841.34      
26            26            -4253.09      -562.586      -4815.67      -4815.67      
27            27            -4255.29      -575.589      -4830.88      -4830.88      
28            28            -4141.06      -610.649      -4751.71      -4751.71      
29            29            -4280.57      -550.463      -4831.03      -4831.03      
30            30            -4324.77      -577.071      -4901.84      -4901.84      
31            31            -4335.81      -574.005      -4909.81      -4909.81      
32            32            -4261.17      -561.696      -4822.87      -4822.87      
33            33            -4264.6       -588.345      -4852.95      -4852.95      
34            34            -4155.89      -584.613      -4740.5       -4740.5       
35            35            -4191.22      -591.946      -4783.17      -4783.17      
36            36            -4250.48      -613.456      -4863.94      -4863.94      
37            37            -4334.56      -527.656      -4862.21      -4862.21      
38            38            -4251.23      -588.687      -4839.92      -4839.92      
39            39            -4260.56      -549.891      -4810.45      -4810.45      
40            40            -4277.44      -545.138      -4822.58      -4822.58      
41            41            -4176.25      -579.543      -4755.8       -4755.8       
42            42            -4084.93      -580.293      -4665.22      -4665.22      
43            43            -4129.96      -570.416      -4700.38      -4700.38      
44            44            -4149.38      -583.015      -4732.39      -4732.39      
45            45            -4271.87      -594.463      -4866.33      -4866.33      
46            46            -4214.68      -599.611      -4814.29      -4814.29      
47            47            -4149.55      -607.35       -4756.9       -4756.9       
48            48            -4239.71      -579.828      -4819.53      -4819.53      
49            49            -4059.42      -615.834      -4675.25      -4675.25      
50            50            -4102.78      -582.149      -4684.92      -4684.92      
51            51            -4026.34      -612.533      -4638.87      -4638.87      
52            52            -4212.21      -597.277      -4809.49      -4809.49      
53            53            -4232.83      -612.924      -4845.75      -4845.75      
54            54            -4131.68      -626.801      -4758.48      -4758.48      
55            55            -4173.05      -585.678      -4758.73      -4758.73      
56            56            -4214.69      -543.397      -4758.09      -4758.09      
57            57            -4192.17      -592.777      -4784.94      -4784.94      
58            58            -4250.55      -606.187      -4856.74      -4856.74      
59            59            -4281.16      -621.211      -4902.37      -4902.37      
60            60            -4267.57      -626.736      -4894.31      -4894.31      
61            61            -4263.53      -593.912      -4857.45      -4857.45      
62            62            -4128.69      -593.057      -4721.74      -4721.74      
63            63            -4293.13      -569.059      -4862.19      -4862.19      
64            64            -4157.51      -602.931      -4760.44      -4760.44      
65            65            -4132.61      -566.935      -4699.54      -4699.54      
66            66            -4307.06      -630.926      -4937.99      -4937.99      
67            67            -4261.85      -591.054      -4852.91      -4852.91      
68            68            -4216.42      -584.133      -4800.55      -4800.55      
69            69            -4262.69      -509.063      -4771.75      -4771.75      
70            70            -4127.19      -573.471      -4700.66      -4700.66      
