Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -4060.6       -611.119      -4671.72      -4671.72      
1             1             -4216.04      -661.759      -4877.8       -4877.8       
2             2             -4196.36      -579.815      -4776.17      -4776.17      
3             3             -4092.5       -610.636      -4703.13      -4703.13      
4             4             -4110.39      -570.921      -4681.31      -4681.31      
5             5             -3914.63      -612.382      -4527.01      -4527.01      
6             6             -3993.72      -580.504      -4574.23      -4574.23      
7             7             -4091.8       -647.284      -4739.09      -4739.09      
8             8             -4062.97      -594.677      -4657.65      -4657.65      
9             9             -4039.05      -605.996      -4645.05      -4645.05      
10            10            -3990.04      -562.416      -4552.46      -4552.46      
11            11            -4072.25      -540.973      -4613.22      -4613.22      
12            12            -4044.08      -600.694      -4644.77      -4644.77      
13            13            -4014.77      -610.856      -4625.62      -4625.62      
14            14            -3866.77      -600.539      -4467.3       -4467.3       
15            15            -4003.06      -593.686      -4596.75      -4596.75      
16            16            -4029.29      -611.941      -4641.23      -4641.23      
17            17            -4023.81      -613.051      -4636.86      -4636.86      
18            18            -4144.65      -586.359      -4731.01      -4731.01      
19            19            -4020.78      -630.374      -4651.15      -4651.15      
20            20            -3982.16      -615.69       -4597.85      -4597.85      
21            21            -4054.4       -576.389      -4630.79      -4630.79      
22            22            -3933.63      -622.055      -4555.68      -4555.68      
23            23            -4100.68      -560.293      -4660.97      -4660.97      
24            24            -3901.52      -605.92       -4507.44      -4507.44      
25            25            -4015.45      -560.394      -4575.84      -4575.84      
26            26            -3959.46      -597.996      -4557.46      -4557.46      
27            27            -4041.5       -559.926      -4601.42      -4601.42      
28            28            -3966.46      -588.765      -4555.23      -4555.23      
29            29            -4021.3       -569.802      -4591.1       -4591.1       
30            30            -3980.51      -615.706      -4596.22      -4596.22      
31            31            -4020.34      -622.397      -4642.74      -4642.74      
32            32            -3841.48      -624.926      -4466.41      -4466.41      
33            33            -3809.22      -591.234      -4400.46      -4400.46      
34            34            -3934.72      -576.393      -4511.12      -4511.12      
35            35            -3843.85      -543.594      -4387.44      -4387.44      
36            36            -3991.61      -544.024      -4535.64      -4535.64      
37            37            -3954.42      -563.895      -4518.31      -4518.31      
38            38            -4021.03      -611.372      -4632.4       -4632.4       
39            39            -4027.01      -609.139      -4636.15      -4636.15      
40            40            -4045.06      -602.595      -4647.65      -4647.65      
41            41            -3992.83      -533.402      -4526.23      -4526.23      
42            42            -4088.06      -561.178      -4649.24      -4649.24      
43            43            -3832.49      -547.25       -4379.74      -4379.74      
44            44            -3915.57      -585.485      -4501.06      -4501.06      
45            45            -3908.71      -596.732      -4505.45      -4505.45      
46            46            -3740.11      -615.639      -4355.75      -4355.75      
47            47            -3844.69      -577.739      -4422.43      -4422.43      
48            48            -3888.94      -571.913      -4460.85      -4460.85      
49            49            -4101.84      -595.416      -4697.26      -4697.26      
50            50            -4060.46      -634.738      -4695.2       -4695.2       
51            51            -4088.2       -620.064      -4708.27      -4708.27      
52            52            -4133.43      -560.979      -4694.41      -4694.41      
53            53            -3929.81      -580.537      -4510.34      -4510.34      
54            54            -3972.4       -645.149      -4617.55      -4617.55      
55            55            -3876.77      -618.758      -4495.53      -4495.53      
56            56            -4020.01      -621.432      -4641.44      -4641.44      
57            57            -3909.27      -612.142      -4521.41      -4521.41      
58            58            -4005.98      -596.518      -4602.5       -4602.5       
59            59            -4166.86      -579.983      -4746.84      -4746.84      
60            60            -4051.93      -600.01       -4651.94      -4651.94      
61            61            -4064.66      -586.861      -4651.52      -4651.52      
62            62            -3931.76      -631.278      -4563.04      -4563.04      
63            63            -4050.63      -575.892      -4626.52      -4626.52      
64            64            -4071.79      -599.368      -4671.16      -4671.16      
65            65            -3944.59      -599.86       -4544.45      -4544.45      
66            66            -4065.45      -575.169      -4640.62      -4640.62      
67            67            -4073.41      -573.71       -4647.12      -4647.12      
68            68            -4008.1       -639.932      -4648.03      -4648.03      
69            69            -3951.76      -632.303      -4584.06      -4584.06      
70            70            -3980.53      -619.799      -4600.33      -4600.33      
71            71            -3936.63      -622.183      -4558.82      -4558.82      
72            72            -3878.71      -592.976      -4471.69      -4471.69      
73            73            -3950.64      -647.528      -4598.17      -4598.17      
74            74            -3867.1       -582.9        -4450         -4450         
75            75            -4124.62      -612.9        -4737.52      -4737.52      
76            76            -4089.35      -631.79       -4721.14      -4721.14      
77            77            -4105.64      -605.628      -4711.27      -4711.27      
78            78            -4163.35      -585.186      -4748.54      -4748.54      
79            79            -3962.55      -596.914      -4559.47      -4559.47      
80            80            -3971.86      -595.491      -4567.35      -4567.35      
81            81            -3996.4       -609.425      -4605.83      -4605.83      
82            82            -4049.78      -658.275      -4708.05      -4708.05      
83            83            -3998.3       -613.682      -4611.99      -4611.99      
84            84            -3977.81      -615.474      -4593.28      -4593.28      
85            85            -4026.25      -570.242      -4596.5       -4596.5       
86            86            -3940.53      -623.642      -4564.18      -4564.18      
87            87            -3977.82      -628.406      -4606.22      -4606.22      
88            88            -3945.11      -608.185      -4553.29      -4553.29      
89            89            -3947.31      -597.329      -4544.64      -4544.64      
90            90            -4142.34      -638.637      -4780.98      -4780.98      
91            91            -4152.38      -599.501      -4751.88      -4751.88      
92            92            -4155.8       -574.803      -4730.6       -4730.6       
93            93            -4220.23      -561.37       -4781.6       -4781.6       
94            94            -4244.59      -576.055      -4820.64      -4820.64      
95            95            -4190         -574.316      -4764.32      -4764.32      
96            96            -4052.9       -621.718      -4674.62      -4674.62      
97            97            -3999.55      -596.653      -4596.2       -4596.2       
98            98            -3963         -556.483      -4519.48      -4519.48      
99            99            -3948.24      -542.38       -4490.62      -4490.62      
100           100           -3976.27      -578.849      -4555.12      -4555.12      
101           101           -4032.51      -561.443      -4593.95      -4593.95      
102           102           -3973.54      -588.399      -4561.94      -4561.94      
103           103           -4246.62      -536.811      -4783.43      -4783.43      
104           104           -4040.52      -587.898      -4628.42      -4628.42      
105           105           -4190.74      -555.617      -4746.36      -4746.36      
106           106           -4126.85      -551.199      -4678.05      -4678.05      
107           107           -4064.04      -566.722      -4630.76      -4630.76      
108           108           -4062.88      -595.51       -4658.39      -4658.39      
109           109           -4039.44      -518.916      -4558.35      -4558.35      
110           110           -4125.41      -589.902      -4715.31      -4715.31      
111           111           -3995.68      -529.092      -4524.77      -4524.77      
