Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -4107.08      -586.684      -4693.76      -4693.76      
1             1             -4345.67      -584.401      -4930.07      -4930.07      
2             2             -4304.42      -571.829      -4876.25      -4876.25      
3             3             -4177.18      -643.738      -4820.92      -4820.92      
4             4             -4230.2       -553.184      -4783.38      -4783.38      
5             5             -4247.24      -609.813      -4857.06      -4857.06      
6             6             -4230.31      -570.402      -4800.71      -4800.71      
7             7             -4245.67      -593.33       -4839         -4839         
8             8             -4085.01      -622.542      -4707.55      -4707.55      
9             9             -4057.14      -609.81       -4666.95      -4666.95      
10            10            -4102.68      -600.604      -4703.28      -4703.28      
11            11            -4052.91      -562.724      -4615.63      -4615.63      
12            12            -3914.7       -617.463      -4532.17      -4532.17      
13            13            -3910.92      -577.724      -4488.65      -4488.65      
14            14            -4049.16      -545.274      -4594.43      -4594.43      
15            15            -4087.3       -609.853      -4697.16      -4697.16      
16            16            -4011.85      -627.697      -4639.55      -4639.55      
17            17            -3968.84      -582.368      -4551.21      -4551.21      
18            18            -4208.21      -567.226      -4775.44      -4775.44      
19            19            -3983.01      -612.282      -4595.29      -4595.29      
20            20            -4103.29      -571.263      -4674.55      -4674.55      
21            21            -4036.89      -569.841      -4606.74      -4606.74      
22            22            -3971.95      -586.963      -4558.91      -4558.91      
23            23            -4096         -598.733      -4694.73      -4694.73      
24            24            -4167.2       -615.054      -4782.25      -4782.25      
25            25            -4320.66      -624.899      -4945.56      -4945.56      
26            26            -4206.95      -614.351      -4821.3       -4821.3       
27            27            -4307.52      -578.077      -4885.6       -4885.6       
28            28            -4097.73      -602.245      -4699.98      -4699.98      
29            29            -4190.55      -615.276      -4805.82      -4805.82      
30            30            -4023.09      -624.712      -4647.8       -4647.8       
31            31            -4120.2       -630.042      -4750.24      -4750.24      
32            32            -4074.25      -623.993      -4698.24      -4698.24      
33            33            -4173.47      -604.94       -4778.41      -4778.41      
34            34            -4028.86      -608.087      -4636.94      -4636.94      
35            35            -4063.14      -574.536      -4637.68      -4637.68      
36            36            -4063.55      -588.083      -4651.63      -4651.63      
37            37            -4037.69      -534.679      -4572.36      -4572.36      
38            38            -4091.26      -593.369      -4684.63      -4684.63      
39            39            -4041.53      -599.199      -4640.73      -4640.73      
40            40            -4086.48      -570.725      -4657.2       -4657.2       
41            41            -4176.97      -547.513      -4724.49      -4724.49      
42            42            -4010.76      -610.251      -4621.01      -4621.01      
43            43            -4050.59      -593.37       -4643.96      -4643.96      
44            44            -4062.23      -604.428      -4666.66      -4666.66      
45            45            -4109.26      -660.504      -4769.77      -4769.77      
46            46            -4032.9       -642.738      -4675.64      -4675.64      
47            47            -3970.83      -615.274      -4586.1       -4586.1       
48            48            -4186.05      -583.498      -4769.55      -4769.55      
49            49            -4052.71      -642.356      -4695.06      -4695.06      
50            50            -4134.89      -669.843      -4804.73      -4804.73      
51            51            -4283.48      -574.489      -4857.96      -4857.96      
52            52            -4160.83      -581.473      -4742.31      -4742.31      
53            53            -4084.09      -604.675      -4688.77      -4688.77      
54            54            -4209.2       -605.172      -4814.37      -4814.37      
55            55            -4141.87      -648.784      -4790.66      -4790.66      
