POSE, FRAME, TYPE, RMSD
sw06_Full,1,Protein,2.077785015106201
sw06_Full,2,Protein,2.32719087600708
sw06_Full,3,Protein,2.3700954914093018
sw06_Full,4,Protein,3.123206377029419
sw06_Full,5,Protein,3.50842547416687
sw06_Full,6,Protein,3.8305866718292236
sw06_Full,7,Protein,3.8915464878082275
sw06_Full,8,Protein,4.285399913787842
sw06_Full,9,Protein,4.047372341156006
sw06_Full,10,Protein,4.062268257141113
sw06_Full,11,Protein,4.236839294433594
sw06_Full,12,Protein,3.781524419784546
sw06_Full,13,Protein,3.969794511795044
sw06_Full,14,Protein,4.477865219116211
sw06_Full,15,Protein,3.9763176441192627
sw06_Full,16,Protein,3.713247299194336
sw06_Full,17,Protein,3.428572654724121
sw06_Full,18,Protein,3.7976412773132324
sw06_Full,19,Protein,3.8605711460113525
sw06_Full,20,Protein,3.851686716079712
sw06_Full,21,Protein,4.10018253326416
sw06_Full,22,Protein,4.358514308929443
sw06_Full,23,Protein,4.26245641708374
sw06_Full,24,Protein,4.330338001251221
sw06_Full,25,Protein,4.359629154205322
sw06_Full,26,Protein,4.87865686416626
sw06_Full,27,Protein,4.709931373596191
sw06_Full,28,Protein,5.035624980926514
sw06_Full,29,Protein,4.9222187995910645
sw06_Full,30,Protein,5.28034782409668
sw06_Full,31,Protein,5.170683860778809
sw06_Full,32,Protein,4.888889789581299
sw06_Full,33,Protein,4.950211048126221
sw06_Full,34,Protein,4.874466419219971
sw06_Full,35,Protein,5.3653106689453125
sw06_Full,36,Protein,5.4987030029296875
sw06_Full,37,Protein,5.504288673400879
sw06_Full,38,Protein,5.976959705352783
sw06_Full,39,Protein,5.281108379364014
sw06_Full,40,Protein,5.5619401931762695
sw06_Full,41,Protein,5.368159294128418
sw06_Full,42,Protein,5.446577548980713
sw06_Full,43,Protein,5.610574722290039
sw06_Full,44,Protein,5.9239325523376465
sw06_Full,45,Protein,6.039091110229492
sw06_Full,46,Protein,5.696462154388428
sw06_Full,47,Protein,5.747353553771973
sw06_Full,48,Protein,6.099462509155273
sw06_Full,49,Protein,5.995688438415527
sw06_Full,50,Protein,6.098490238189697
sw06_Full,51,Protein,5.609495162963867
sw06_Full,52,Protein,5.209835529327393
sw06_Full,53,Protein,5.329915523529053
sw06_Full,54,Protein,5.3127031326293945
sw06_Full,55,Protein,5.4906158447265625
sw06_Full,56,Protein,4.991940498352051
sw06_Full,57,Protein,5.034544944763184
sw06_Full,58,Protein,5.098231315612793
sw06_Full,59,Protein,5.257198810577393
sw06_Full,60,Protein,5.852281093597412
sw06_Full,61,Protein,5.772559642791748
sw06_Full,62,Protein,6.2288289070129395
sw06_Full,63,Protein,6.2064924240112305
sw06_Full,64,Protein,5.768163681030273
sw06_Full,65,Protein,6.234305381774902
sw06_Full,66,Protein,6.09357213973999
sw06_Full,67,Protein,6.538089275360107
sw06_Full,68,Protein,6.254333972930908
sw06_Full,69,Protein,6.170015811920166
sw06_Full,70,Protein,5.74172306060791
sw06_Full,71,Protein,6.012080192565918
sw06_Full,72,Protein,7.013894557952881
sw06_Full,73,Protein,7.5624213218688965
sw06_Full,74,Protein,7.803590297698975
sw06_Full,75,Protein,7.673303127288818
sw06_Full,76,Protein,7.690307140350342
sw06_Full,77,Protein,7.801785945892334
sw06_Full,78,Protein,8.042645454406738
sw06_Full,79,Protein,9.10266399383545
sw06_Full,80,Protein,8.443007469177246
sw06_Full,81,Protein,9.016996383666992
sw06_Full,82,Protein,8.34875202178955
sw06_Full,83,Protein,8.484640121459961
sw06_Full,84,Protein,9.267644882202148
sw06_Full,85,Protein,9.247640609741211
sw06_Full,86,Protein,9.721850395202637
sw06_Full,87,Protein,9.396842956542969
sw06_Full,88,Protein,9.268939018249512
sw06_Full,89,Protein,8.971573829650879
sw06_Full,90,Protein,8.614859580993652
sw06_Full,91,Protein,8.455901145935059
sw06_Full,92,Protein,8.061516761779785
sw06_Full,93,Protein,7.809627532958984
sw06_Full,94,Protein,8.627827644348145
sw06_Full,95,Protein,8.59024429321289
sw06_Full,96,Protein,9.237874031066895
sw06_Full,97,Protein,9.06466007232666
sw06_Full,98,Protein,8.928908348083496
sw06_Full,99,Protein,8.654596328735352
sw06_Full,100,Protein,8.76915454864502
sw06_Full,101,Protein,8.562244415283203
sw06_Full,102,Protein,8.469817161560059
sw06_Full,103,Protein,8.65973949432373
sw06_Full,104,Protein,8.308626174926758
sw06_Full,105,Protein,8.049683570861816
sw06_Full,106,Protein,7.818506717681885
sw06_Full,107,Protein,8.329991340637207
sw06_Full,108,Protein,8.283698081970215
sw06_Full,109,Protein,8.17360782623291
sw06_Full,110,Protein,8.442469596862793
sw06_Full,111,Protein,8.814169883728027
sw06_Full,112,Protein,8.381574630737305
sw06_Full,113,Protein,8.75516128540039
sw06_Full,114,Protein,8.5424165725708
sw06_Full,115,Protein,8.783846855163574
sw06_Full,116,Protein,8.440336227416992
sw06_Full,117,Protein,8.630306243896484
sw06_Full,118,Protein,8.680386543273926
sw06_Full,119,Protein,8.746466636657715
sw06_Full,120,Protein,9.08009147644043
sw06_Full,121,Protein,9.006684303283691
sw06_Full,122,Protein,8.796972274780273
sw06_Full,123,Protein,8.445863723754883
sw06_Full,124,Protein,8.70175552368164
sw06_Full,125,Protein,8.691879272460938
sw06_Full,126,Protein,8.290140151977539
sw06_Full,127,Protein,8.596208572387695
sw06_Full,128,Protein,8.460221290588379
sw06_Full,129,Protein,8.525484085083008
sw06_Full,130,Protein,8.600112915039063
sw06_Full,131,Protein,9.194198608398438
sw06_Full,132,Protein,9.207448959350586
sw06_Full,133,Protein,8.927791595458984
sw06_Full,134,Protein,8.663410186767578
sw06_Full,135,Protein,8.89164924621582
sw06_Full,136,Protein,8.431273460388184
sw06_Full,137,Protein,8.764391899108887
sw06_Full,138,Protein,8.631174087524414
sw06_Full,139,Protein,8.579062461853027
sw06_Full,140,Protein,8.861682891845703
sw06_Full,141,Protein,8.173487663269043
sw06_Full,142,Protein,8.323051452636719
sw06_Full,143,Protein,8.410783767700195
sw06_Full,144,Protein,8.123860359191895
sw06_Full,145,Protein,8.463983535766602
sw06_Full,146,Protein,8.179807662963867
sw06_Full,147,Protein,8.832259178161621
sw06_Full,148,Protein,8.557923316955566
sw06_Full,149,Protein,8.147247314453125
sw06_Full,150,Protein,8.591611862182617
sw06_Full,151,Protein,8.486848831176758
sw06_Full,152,Protein,8.471046447753906
sw06_Full,153,Protein,8.8765287399292
sw06_Full,154,Protein,9.074490547180176
sw06_Full,155,Protein,8.884016036987305
sw06_Full,156,Protein,8.559231758117676
sw06_Full,157,Protein,8.496063232421875
sw06_Full,158,Protein,8.245970726013184
sw06_Full,159,Protein,8.367177963256836
sw06_Full,160,Protein,8.065887451171875
sw06_Full,161,Protein,8.184972763061523
sw06_Full,162,Protein,8.246837615966797
sw06_Full,163,Protein,8.187529563903809
sw06_Full,164,Protein,8.535905838012695
sw06_Full,165,Protein,8.141213417053223
sw06_Full,166,Protein,7.632004737854004
sw06_Full,167,Protein,7.7939958572387695
sw06_Full,168,Protein,7.396730899810791
sw06_Full,169,Protein,7.751333236694336
sw06_Full,170,Protein,7.3877692222595215
sw06_Full,171,Protein,7.787815570831299
sw06_Full,172,Protein,8.193487167358398
sw06_Full,173,Protein,8.234458923339844
sw06_Full,174,Protein,8.004936218261719
sw06_Full,175,Protein,8.444940567016602
sw06_Full,176,Protein,8.57106876373291
sw06_Full,177,Protein,8.274232864379883
sw06_Full,178,Protein,7.615623474121094
sw06_Full,179,Protein,7.157827377319336
