POSE,FRAME,TYPE,RMSD
ALONE,1,Protein,1.9406318664550781
ALONE,2,Protein,2.28497052192688
ALONE,3,Protein,2.7026548385620117
ALONE,4,Protein,3.7094058990478516
ALONE,5,Protein,3.591984272003174
ALONE,6,Protein,2.913769483566284
ALONE,7,Protein,3.284013509750366
ALONE,8,Protein,3.2243168354034424
ALONE,9,Protein,3.500077962875366
ALONE,10,Protein,3.500521421432495
ALONE,11,Protein,3.575483798980713
ALONE,12,Protein,3.9359095096588135
ALONE,13,Protein,3.9368326663970947
ALONE,14,Protein,4.557485580444336
ALONE,15,Protein,4.307717800140381
ALONE,16,Protein,4.616127967834473
ALONE,17,Protein,4.577101230621338
ALONE,18,Protein,5.707267761230469
ALONE,19,Protein,5.756026744842529
ALONE,20,Protein,5.907442092895508
ALONE,21,Protein,6.500471115112305
ALONE,22,Protein,6.375751495361328
ALONE,23,Protein,6.73708438873291
ALONE,24,Protein,6.1930389404296875
ALONE,25,Protein,6.500804424285889
ALONE,26,Protein,6.85867977142334
ALONE,27,Protein,6.915298938751221
ALONE,28,Protein,7.043463230133057
ALONE,29,Protein,7.1036295890808105
ALONE,30,Protein,6.882956027984619
ALONE,31,Protein,7.094062328338623
ALONE,32,Protein,7.017570972442627
ALONE,33,Protein,6.913503170013428
ALONE,34,Protein,6.349922180175781
ALONE,35,Protein,6.403026103973389
ALONE,36,Protein,6.411619663238525
ALONE,37,Protein,6.56386661529541
ALONE,38,Protein,6.190700054168701
ALONE,39,Protein,6.0371994972229
ALONE,40,Protein,5.741792678833008
ALONE,41,Protein,5.516671180725098
ALONE,42,Protein,5.9405107498168945
ALONE,43,Protein,5.904945373535156
ALONE,44,Protein,5.964033603668213
ALONE,45,Protein,5.9717254638671875
ALONE,46,Protein,5.743537425994873
ALONE,47,Protein,5.980851650238037
ALONE,48,Protein,5.734554767608643
ALONE,49,Protein,5.4638671875
ALONE,50,Protein,5.817814350128174
ALONE,51,Protein,5.9544806480407715
ALONE,52,Protein,6.156774044036865
ALONE,53,Protein,6.269726753234863
ALONE,54,Protein,6.464118957519531
ALONE,55,Protein,6.369356632232666
ALONE,56,Protein,6.137872219085693
ALONE,57,Protein,6.035665512084961
ALONE,58,Protein,5.64625883102417
ALONE,59,Protein,6.147186756134033
ALONE,60,Protein,6.263594150543213
ALONE,61,Protein,6.157958984375
ALONE,62,Protein,5.852707862854004
ALONE,63,Protein,5.546563148498535
ALONE,64,Protein,5.842047214508057
ALONE,65,Protein,5.474554061889648
ALONE,66,Protein,6.237085819244385
ALONE,67,Protein,6.6232218742370605
ALONE,68,Protein,6.483034610748291
ALONE,69,Protein,6.654592037200928
ALONE,70,Protein,6.528659820556641
ALONE,71,Protein,6.571907043457031
ALONE,72,Protein,6.39736795425415
ALONE,73,Protein,6.529020309448242
ALONE,74,Protein,6.84375524520874
ALONE,75,Protein,6.976821422576904
ALONE,76,Protein,6.693347454071045
ALONE,77,Protein,6.711051940917969
ALONE,78,Protein,6.295341491699219
ALONE,79,Protein,6.433692932128906
ALONE,80,Protein,6.46422815322876
ALONE,81,Protein,6.700276851654053
ALONE,82,Protein,6.877111434936523
ALONE,83,Protein,7.355846881866455
ALONE,84,Protein,6.919790744781494
ALONE,85,Protein,7.537196636199951
ALONE,86,Protein,7.464632511138916
ALONE,87,Protein,7.095235824584961
ALONE,88,Protein,7.131317138671875
ALONE,89,Protein,7.213842868804932
ALONE,90,Protein,7.433511734008789
ALONE,91,Protein,7.423122406005859
ALONE,92,Protein,7.819153308868408
ALONE,93,Protein,7.928811550140381
ALONE,94,Protein,7.561964511871338
ALONE,95,Protein,6.768352508544922
ALONE,96,Protein,7.059045314788818
ALONE,97,Protein,7.7758588790893555
ALONE,98,Protein,7.295263767242432
ALONE,99,Protein,7.196894645690918
ALONE,100,Protein,7.0490288734436035
ALONE,101,Protein,7.1533403396606445
ALONE,102,Protein,7.172844409942627
ALONE,103,Protein,7.499273300170898
ALONE,104,Protein,7.69548225402832
ALONE,105,Protein,7.6808295249938965
ALONE,106,Protein,7.413815021514893
ALONE,107,Protein,7.5544939041137695
ALONE,108,Protein,8.109992980957031
ALONE,109,Protein,8.236433029174805
ALONE,110,Protein,7.752972602844238
ALONE,111,Protein,7.8043975830078125
ALONE,112,Protein,7.767794132232666
ALONE,113,Protein,8.1617431640625
ALONE,114,Protein,8.598464965820313
ALONE,115,Protein,8.487553596496582
ALONE,116,Protein,8.473522186279297
ALONE,117,Protein,8.372796058654785
ALONE,118,Protein,7.841166973114014
ALONE,119,Protein,8.303252220153809
ALONE,120,Protein,8.77899169921875
ALONE,121,Protein,8.889267921447754
ALONE,122,Protein,9.809796333312988
ALONE,123,Protein,9.56562328338623
ALONE,124,Protein,10.277704238891602
ALONE,125,Protein,10.635826110839844
ALONE,126,Protein,10.319524765014648
ALONE,127,Protein,10.23098373413086
ALONE,128,Protein,9.967860221862793
ALONE,129,Protein,9.308260917663574
ALONE,130,Protein,9.376965522766113
ALONE,131,Protein,9.490614891052246
ALONE,132,Protein,9.288107872009277
ALONE,133,Protein,9.343445777893066
ALONE,134,Protein,8.968317985534668
ALONE,135,Protein,8.770275115966797
ALONE,136,Protein,9.07650375366211
ALONE,137,Protein,8.948476791381836
ALONE,138,Protein,8.731822967529297
ALONE,139,Protein,8.34338092803955
ALONE,140,Protein,8.24544906616211
ALONE,141,Protein,7.867233753204346
ALONE,142,Protein,8.387601852416992
ALONE,143,Protein,8.004080772399902
ALONE,144,Protein,7.89135217666626
ALONE,145,Protein,7.866695404052734
ALONE,146,Protein,8.129851341247559
ALONE,147,Protein,7.744568347930908
ALONE,148,Protein,7.818386077880859
ALONE,149,Protein,7.877835750579834
ALONE,150,Protein,7.625716686248779
ALONE,151,Protein,7.711658477783203
ALONE,152,Protein,8.036931991577148
ALONE,153,Protein,7.465457439422607
ALONE,154,Protein,7.186625003814697
ALONE,155,Protein,7.374062538146973
ALONE,156,Protein,7.1957244873046875
ALONE,157,Protein,7.065643787384033
ALONE,158,Protein,7.632412433624268
ALONE,159,Protein,7.581653118133545
ALONE,160,Protein,7.985434055328369
ALONE,161,Protein,7.837714195251465
ALONE,162,Protein,8.240704536437988
ALONE,163,Protein,8.58870792388916
ALONE,164,Protein,9.096506118774414
ALONE,165,Protein,8.875829696655273
ALONE,166,Protein,9.28431224822998
ALONE,167,Protein,9.017133712768555
ALONE,168,Protein,9.095802307128906
ALONE,169,Protein,8.318309783935547
ALONE,170,Protein,8.023064613342285
ALONE,171,Protein,7.701938152313232
ALONE,172,Protein,7.913625717163086
ALONE,173,Protein,7.835348129272461
ALONE,174,Protein,7.473631381988525
ALONE,175,Protein,7.174704074859619
ALONE,176,Protein,8.08500862121582
ALONE,177,Protein,7.894300937652588
ALONE,178,Protein,7.633059978485107
ALONE,179,Protein,7.606302261352539
ALONE,180,Protein,7.627325057983398
ALONE,181,Protein,7.4961161613464355
ALONE,182,Protein,7.848198890686035
ALONE,183,Protein,7.762213230133057
ALONE,184,Protein,7.496337413787842
ALONE,185,Protein,7.836761951446533
ALONE,186,Protein,7.493898391723633
ALONE,187,Protein,7.934494495391846
ALONE,188,Protein,7.9177327156066895
ALONE,189,Protein,8.495200157165527
ALONE,190,Protein,8.301676750183105
ALONE,191,Protein,7.6368818283081055
ALONE,192,Protein,7.562709331512451
ALONE,193,Protein,7.4585676193237305
ALONE,194,Protein,7.586302280426025
ALONE,195,Protein,8.18805980682373
ALONE,196,Protein,8.173356056213379
ALONE,197,Protein,7.823366165161133
ALONE,198,Protein,8.370355606079102
ALONE,199,Protein,7.962600231170654
ALONE,200,Protein,7.416047096252441
ALONE,201,Protein,7.852126121520996
ALONE,202,Protein,7.808536529541016
ALONE,203,Protein,7.896424293518066
ALONE,204,Protein,7.715948581695557
ALONE,205,Protein,7.975695610046387
ALONE,206,Protein,7.764288425445557
ALONE,207,Protein,7.842376232147217
ALONE,208,Protein,7.943609714508057
ALONE,209,Protein,8.075257301330566
ALONE,210,Protein,8.440101623535156
ALONE,211,Protein,8.16860294342041
ALONE,212,Protein,8.701961517333984
ALONE,213,Protein,8.87216567993164
ALONE,214,Protein,8.484254837036133
ALONE,215,Protein,8.911481857299805
ALONE,216,Protein,8.580236434936523
ALONE,217,Protein,8.618371963500977
ALONE,218,Protein,9.015196800231934
ALONE,219,Protein,9.010577201843262
ALONE,220,Protein,8.934629440307617
ALONE,221,Protein,8.048874855041504
ALONE,222,Protein,8.3553466796875
ALONE,223,Protein,8.603073120117188
ALONE,224,Protein,8.255242347717285
ALONE,225,Protein,8.221306800842285
ALONE,226,Protein,8.230426788330078
ALONE,227,Protein,7.688704967498779
ALONE,228,Protein,7.7722673416137695
ALONE,229,Protein,7.6026716232299805
ALONE,230,Protein,7.924868106842041
ALONE,231,Protein,8.345841407775879
ALONE,232,Protein,7.669848918914795
ALONE,233,Protein,7.8221540451049805
ALONE,234,Protein,8.040152549743652
ALONE,235,Protein,7.9272356033325195
ALONE,236,Protein,7.450401782989502
ALONE,237,Protein,7.690075397491455
ALONE,238,Protein,7.8957438468933105
ALONE,239,Protein,8.119787216186523
ALONE,240,Protein,7.719336986541748
ALONE,241,Protein,7.344982147216797
ALONE,242,Protein,7.291565895080566
ALONE,243,Protein,7.434017658233643
ALONE,244,Protein,7.490993976593018
ALONE,245,Protein,8.16308307647705
ALONE,246,Protein,8.338417053222656
ALONE,247,Protein,8.221044540405273
ALONE,248,Protein,8.503569602966309
ALONE,249,Protein,8.345924377441406
ALONE,250,Protein,8.174788475036621
ALONE,251,Protein,9.015680313110352
ALONE,252,Protein,9.122053146362305
ALONE,253,Protein,9.157362937927246
ALONE,254,Protein,8.746761322021484
ALONE,255,Protein,8.628993034362793
ALONE,256,Protein,9.396059036254883
ALONE,257,Protein,9.422245025634766
ALONE,258,Protein,9.319662094116211
ALONE,259,Protein,9.039022445678711
ALONE,260,Protein,8.635910034179688
ALONE,261,Protein,8.758133888244629
ALONE,262,Protein,9.529502868652344
ALONE,263,Protein,8.93333911895752
ALONE,264,Protein,9.801773071289063
ALONE,265,Protein,9.844635009765625
ALONE,266,Protein,9.879150390625
ALONE,267,Protein,9.911126136779785
ALONE,268,Protein,10.107030868530273
ALONE,269,Protein,10.382739067077637
ALONE,270,Protein,10.099808692932129
ALONE,271,Protein,10.516480445861816
ALONE,272,Protein,10.48617935180664
ALONE,273,Protein,10.282370567321777
ALONE,274,Protein,10.037430763244629
ALONE,275,Protein,10.447805404663086
ALONE,276,Protein,10.638875961303711
ALONE,277,Protein,10.974803924560547
ALONE,278,Protein,11.64688777923584
ALONE,279,Protein,11.593683242797852
ALONE,280,Protein,12.47939682006836
ALONE,281,Protein,12.535338401794434
ALONE,282,Protein,12.833956718444824
ALONE,283,Protein,13.034332275390625
ALONE,284,Protein,13.067843437194824
ALONE,285,Protein,12.124690055847168
ALONE,286,Protein,12.538718223571777
ALONE,287,Protein,11.541672706604004
ALONE,288,Protein,11.796295166015625
ALONE,289,Protein,11.464885711669922
ALONE,290,Protein,11.52912425994873
ALONE,291,Protein,11.628847122192383
ALONE,292,Protein,11.25154972076416
ALONE,293,Protein,11.326692581176758
ALONE,294,Protein,11.399776458740234
ALONE,295,Protein,11.626387596130371
ALONE,296,Protein,12.080345153808594
ALONE,297,Protein,11.228883743286133
ALONE,298,Protein,11.633941650390625
ALONE,299,Protein,11.374226570129395
ALONE,300,Protein,10.736486434936523
ALONE,301,Protein,10.393847465515137
ALONE,302,Protein,10.075039863586426
ALONE,303,Protein,10.296972274780273
ALONE,304,Protein,10.86026382446289
ALONE,305,Protein,11.47811222076416
ALONE,306,Protein,11.112220764160156
ALONE,307,Protein,12.325287818908691
ALONE,308,Protein,12.310232162475586
ALONE,309,Protein,12.965130805969238
ALONE,310,Protein,12.587945938110352
ALONE,311,Protein,13.03998851776123
ALONE,312,Protein,13.14473819732666
ALONE,313,Protein,12.789335250854492
ALONE,314,Protein,12.677125930786133
ALONE,315,Protein,12.705673217773438
ALONE,316,Protein,12.670778274536133
ALONE,317,Protein,12.636495590209961
ALONE,318,Protein,12.778786659240723
ALONE,319,Protein,11.747649192810059
ALONE,320,Protein,11.860761642456055
ALONE,321,Protein,12.318482398986816
ALONE,322,Protein,12.025732040405273
ALONE,323,Protein,12.153265953063965
ALONE,324,Protein,12.292248725891113
ALONE,325,Protein,11.938780784606934
ALONE,326,Protein,11.825952529907227
ALONE,327,Protein,12.06468391418457
ALONE,328,Protein,11.306602478027344
ALONE,329,Protein,11.72567081451416
ALONE,330,Protein,11.448488235473633
ALONE,331,Protein,11.735315322875977
ALONE,332,Protein,11.277345657348633
ALONE,333,Protein,11.33830738067627
ALONE,334,Protein,11.38391399383545
ALONE,335,Protein,11.586101531982422
ALONE,336,Protein,11.51828384399414
ALONE,337,Protein,11.234527587890625
ALONE,338,Protein,10.956781387329102
ALONE,339,Protein,11.031813621520996
ALONE,340,Protein,10.76265811920166
ALONE,341,Protein,10.551959037780762
ALONE,342,Protein,10.770903587341309
ALONE,343,Protein,11.20436954498291
ALONE,344,Protein,10.99648380279541
ALONE,345,Protein,11.38007640838623
ALONE,346,Protein,11.380268096923828
ALONE,347,Protein,11.809871673583984
ALONE,348,Protein,11.587111473083496
ALONE,349,Protein,10.916829109191895
ALONE,350,Protein,10.491339683532715
ALONE,351,Protein,10.423937797546387
ALONE,352,Protein,10.475747108459473
ALONE,353,Protein,10.733413696289063
ALONE,354,Protein,11.007198333740234
ALONE,355,Protein,11.53901195526123
ALONE,356,Protein,10.851129531860352
ALONE,357,Protein,10.517098426818848
ALONE,358,Protein,10.730685234069824
ALONE,359,Protein,10.624411582946777
ALONE,360,Protein,10.627341270446777
ALONE,361,Protein,10.810038566589355
ALONE,362,Protein,10.334548950195313
