POSE, FRAME, TYPE, RMSD
Alone,1,Protein,1.9406318664550781
Alone,2,Protein,2.28497052192688
Alone,3,Protein,2.7026548385620117
Alone,4,Protein,3.7094058990478516
Alone,5,Protein,3.591984272003174
Alone,6,Protein,2.913769483566284
Alone,7,Protein,3.284013509750366
Alone,8,Protein,3.2243168354034424
Alone,9,Protein,3.500077962875366
Alone,10,Protein,3.500521421432495
Alone,11,Protein,3.575483798980713
Alone,12,Protein,3.9359095096588135
Alone,13,Protein,3.9368326663970947
Alone,14,Protein,4.557485580444336
Alone,15,Protein,4.307717800140381
Alone,16,Protein,4.616127967834473
Alone,17,Protein,4.577101230621338
Alone,18,Protein,5.707267761230469
Alone,19,Protein,5.756026744842529
Alone,20,Protein,5.907442092895508
Alone,21,Protein,6.500471115112305
Alone,22,Protein,6.375751495361328
Alone,23,Protein,6.73708438873291
Alone,24,Protein,6.1930389404296875
Alone,25,Protein,6.500804424285889
Alone,26,Protein,6.85867977142334
Alone,27,Protein,6.915298938751221
Alone,28,Protein,7.043463230133057
Alone,29,Protein,7.1036295890808105
Alone,30,Protein,6.882956027984619
Alone,31,Protein,7.094062328338623
Alone,32,Protein,7.017570972442627
Alone,33,Protein,6.913503170013428
Alone,34,Protein,6.349922180175781
Alone,35,Protein,6.403026103973389
Alone,36,Protein,6.411619663238525
Alone,37,Protein,6.56386661529541
Alone,38,Protein,6.190700054168701
Alone,39,Protein,6.0371994972229
Alone,40,Protein,5.741792678833008
Alone,41,Protein,5.516671180725098
Alone,42,Protein,5.9405107498168945
Alone,43,Protein,5.904945373535156
Alone,44,Protein,5.964033603668213
Alone,45,Protein,5.9717254638671875
Alone,46,Protein,5.743537425994873
Alone,47,Protein,5.980851650238037
Alone,48,Protein,5.734554767608643
Alone,49,Protein,5.4638671875
Alone,50,Protein,5.817814350128174
Alone,51,Protein,5.9544806480407715
Alone,52,Protein,6.156774044036865
Alone,53,Protein,6.269726753234863
Alone,54,Protein,6.464118957519531
Alone,55,Protein,6.369356632232666
Alone,56,Protein,6.137872219085693
Alone,57,Protein,6.035665512084961
Alone,58,Protein,5.64625883102417
Alone,59,Protein,6.147186756134033
Alone,60,Protein,6.263594150543213
Alone,61,Protein,6.157958984375
Alone,62,Protein,5.852707862854004
Alone,63,Protein,5.546563148498535
Alone,64,Protein,5.842047214508057
Alone,65,Protein,5.474554061889648
Alone,66,Protein,6.237085819244385
Alone,67,Protein,6.6232218742370605
Alone,68,Protein,6.483034610748291
Alone,69,Protein,6.654592037200928
Alone,70,Protein,6.528659820556641
Alone,71,Protein,6.571907043457031
Alone,72,Protein,6.39736795425415
Alone,73,Protein,6.529020309448242
Alone,74,Protein,6.84375524520874
Alone,75,Protein,6.976821422576904
Alone,76,Protein,6.693347454071045
Alone,77,Protein,6.711051940917969
Alone,78,Protein,6.295341491699219
Alone,79,Protein,6.433692932128906
Alone,80,Protein,6.46422815322876
Alone,81,Protein,6.700276851654053
Alone,82,Protein,6.877111434936523
Alone,83,Protein,7.355846881866455
Alone,84,Protein,6.919790744781494
Alone,85,Protein,7.537196636199951
Alone,86,Protein,7.464632511138916
Alone,87,Protein,7.095235824584961
Alone,88,Protein,7.131317138671875
Alone,89,Protein,7.213842868804932
Alone,90,Protein,7.433511734008789
Alone,91,Protein,7.423122406005859
Alone,92,Protein,7.819153308868408
Alone,93,Protein,7.928811550140381
Alone,94,Protein,7.561964511871338
Alone,95,Protein,6.768352508544922
Alone,96,Protein,7.059045314788818
Alone,97,Protein,7.7758588790893555
Alone,98,Protein,7.295263767242432
Alone,99,Protein,7.196894645690918
Alone,100,Protein,7.0490288734436035
Alone,101,Protein,7.1533403396606445
Alone,102,Protein,7.172844409942627
Alone,103,Protein,7.499273300170898
Alone,104,Protein,7.69548225402832
Alone,105,Protein,7.6808295249938965
Alone,106,Protein,7.413815021514893
Alone,107,Protein,7.5544939041137695
Alone,108,Protein,8.109992980957031
Alone,109,Protein,8.236433029174805
Alone,110,Protein,7.752972602844238
Alone,111,Protein,7.8043975830078125
Alone,112,Protein,7.767794132232666
Alone,113,Protein,8.1617431640625
Alone,114,Protein,8.598464965820313
Alone,115,Protein,8.487553596496582
Alone,116,Protein,8.473522186279297
Alone,117,Protein,8.372796058654785
Alone,118,Protein,7.841166973114014
Alone,119,Protein,8.303252220153809
Alone,120,Protein,8.77899169921875
Alone,121,Protein,8.889267921447754
Alone,122,Protein,9.809796333312988
Alone,123,Protein,9.56562328338623
Alone,124,Protein,10.277704238891602
Alone,125,Protein,10.635826110839844
Alone,126,Protein,10.319524765014648
Alone,127,Protein,10.23098373413086
Alone,128,Protein,9.967860221862793
Alone,129,Protein,9.308260917663574
Alone,130,Protein,9.376965522766113
Alone,131,Protein,9.490614891052246
Alone,132,Protein,9.288107872009277
Alone,133,Protein,9.343445777893066
Alone,134,Protein,8.968317985534668
Alone,135,Protein,8.770275115966797
Alone,136,Protein,9.07650375366211
Alone,137,Protein,8.948476791381836
Alone,138,Protein,8.731822967529297
Alone,139,Protein,8.34338092803955
Alone,140,Protein,8.24544906616211
Alone,141,Protein,7.867233753204346
Alone,142,Protein,8.387601852416992
Alone,143,Protein,8.004080772399902
Alone,144,Protein,7.89135217666626
Alone,145,Protein,7.866695404052734
Alone,146,Protein,8.129851341247559
Alone,147,Protein,7.744568347930908
Alone,148,Protein,7.818386077880859
Alone,149,Protein,7.877835750579834
Alone,150,Protein,7.625716686248779
Alone,151,Protein,7.711658477783203
Alone,152,Protein,8.036931991577148
Alone,153,Protein,7.465457439422607
Alone,154,Protein,7.186625003814697
Alone,155,Protein,7.374062538146973
Alone,156,Protein,7.1957244873046875
Alone,157,Protein,7.065643787384033
Alone,158,Protein,7.632412433624268
Alone,159,Protein,7.581653118133545
Alone,160,Protein,7.985434055328369
Alone,161,Protein,7.837714195251465
Alone,162,Protein,8.240704536437988
Alone,163,Protein,8.58870792388916
Alone,164,Protein,9.096506118774414
Alone,165,Protein,8.875829696655273
Alone,166,Protein,9.28431224822998
Alone,167,Protein,9.017133712768555
Alone,168,Protein,9.095802307128906
Alone,169,Protein,8.318309783935547
Alone,170,Protein,8.023064613342285
Alone,171,Protein,7.701938152313232
Alone,172,Protein,7.913625717163086
Alone,173,Protein,7.835348129272461
Alone,174,Protein,7.473631381988525
Alone,175,Protein,7.174704074859619
Alone,176,Protein,8.08500862121582
Alone,177,Protein,7.894300937652588
Alone,178,Protein,7.633059978485107
Alone,179,Protein,7.606302261352539
Alone,180,Protein,7.627325057983398
Alone,181,Protein,7.4961161613464355
Alone,182,Protein,7.848198890686035
Alone,183,Protein,7.762213230133057
Alone,184,Protein,7.496337413787842
Alone,185,Protein,7.836761951446533
Alone,186,Protein,7.493898391723633
Alone,187,Protein,7.934494495391846
Alone,188,Protein,7.9177327156066895
Alone,189,Protein,8.495200157165527
Alone,190,Protein,8.301676750183105
Alone,191,Protein,7.6368818283081055
Alone,192,Protein,7.562709331512451
Alone,193,Protein,7.4585676193237305
Alone,194,Protein,7.586302280426025
Alone,195,Protein,8.18805980682373
Alone,196,Protein,8.173356056213379
Alone,197,Protein,7.823366165161133
Alone,198,Protein,8.370355606079102
Alone,199,Protein,7.962600231170654
Alone,200,Protein,7.416047096252441
Alone,201,Protein,7.852126121520996
Alone,202,Protein,7.808536529541016
Alone,203,Protein,7.896424293518066
Alone,204,Protein,7.715948581695557
Alone,205,Protein,7.975695610046387
Alone,206,Protein,7.764288425445557
Alone,207,Protein,7.842376232147217
Alone,208,Protein,7.943609714508057
Alone,209,Protein,8.075257301330566
Alone,210,Protein,8.440101623535156
Alone,211,Protein,8.16860294342041
Alone,212,Protein,8.701961517333984
Alone,213,Protein,8.87216567993164
Alone,214,Protein,8.484254837036133
Alone,215,Protein,8.911481857299805
Alone,216,Protein,8.580236434936523
Alone,217,Protein,8.618371963500977
Alone,218,Protein,9.015196800231934
Alone,219,Protein,9.010577201843262
Alone,220,Protein,8.934629440307617
Alone,221,Protein,8.048874855041504
Alone,222,Protein,8.3553466796875
Alone,223,Protein,8.603073120117188
Alone,224,Protein,8.255242347717285
Alone,225,Protein,8.221306800842285
Alone,226,Protein,8.230426788330078
Alone,227,Protein,7.688704967498779
Alone,228,Protein,7.7722673416137695
Alone,229,Protein,7.6026716232299805
Alone,230,Protein,7.924868106842041
Alone,231,Protein,8.345841407775879
Alone,232,Protein,7.669848918914795
Alone,233,Protein,7.8221540451049805
Alone,234,Protein,8.040152549743652
Alone,235,Protein,7.9272356033325195
Alone,236,Protein,7.450401782989502
Alone,237,Protein,7.690075397491455
Alone,238,Protein,7.8957438468933105
Alone,239,Protein,8.119787216186523
Alone,240,Protein,7.719336986541748
Alone,241,Protein,7.344982147216797
Alone,242,Protein,7.291565895080566
Alone,243,Protein,7.434017658233643
Alone,244,Protein,7.490993976593018
Alone,245,Protein,8.16308307647705
Alone,246,Protein,8.338417053222656
Alone,247,Protein,8.221044540405273
Alone,248,Protein,8.503569602966309
Alone,249,Protein,8.345924377441406
Alone,250,Protein,8.174788475036621
Alone,251,Protein,9.015680313110352
Alone,252,Protein,9.122053146362305
Alone,253,Protein,9.157362937927246
Alone,254,Protein,8.746761322021484
Alone,255,Protein,8.628993034362793
Alone,256,Protein,9.396059036254883
Alone,257,Protein,9.422245025634766
Alone,258,Protein,9.319662094116211
Alone,259,Protein,9.039022445678711
Alone,260,Protein,8.635910034179688
Alone,261,Protein,8.758133888244629
Alone,262,Protein,9.529502868652344
Alone,263,Protein,8.93333911895752
Alone,264,Protein,9.801773071289063
Alone,265,Protein,9.844635009765625
Alone,266,Protein,9.879150390625
Alone,267,Protein,9.911126136779785
Alone,268,Protein,10.107030868530273
Alone,269,Protein,10.382739067077637
Alone,270,Protein,10.099808692932129
Alone,271,Protein,10.516480445861816
Alone,272,Protein,10.48617935180664
Alone,273,Protein,10.282370567321777
Alone,274,Protein,10.037430763244629
Alone,275,Protein,10.447805404663086
Alone,276,Protein,10.638875961303711
Alone,277,Protein,10.974803924560547
Alone,278,Protein,11.64688777923584
Alone,279,Protein,11.593683242797852
Alone,280,Protein,12.47939682006836
Alone,281,Protein,12.535338401794434
Alone,282,Protein,12.833956718444824
Alone,283,Protein,13.034332275390625
Alone,284,Protein,13.067843437194824
Alone,285,Protein,12.124690055847168
Alone,286,Protein,12.538718223571777
Alone,287,Protein,11.541672706604004
Alone,288,Protein,11.796295166015625
Alone,289,Protein,11.464885711669922
Alone,290,Protein,11.52912425994873
Alone,291,Protein,11.628847122192383
Alone,292,Protein,11.25154972076416
Alone,293,Protein,11.326692581176758
Alone,294,Protein,11.399776458740234
Alone,295,Protein,11.626387596130371
Alone,296,Protein,12.080345153808594
Alone,297,Protein,11.228883743286133
Alone,298,Protein,11.633941650390625
Alone,299,Protein,11.374226570129395
Alone,300,Protein,10.736486434936523
Alone,301,Protein,10.393847465515137
Alone,302,Protein,10.075039863586426
Alone,303,Protein,10.296972274780273
Alone,304,Protein,10.86026382446289
Alone,305,Protein,11.47811222076416
Alone,306,Protein,11.112220764160156
Alone,307,Protein,12.325287818908691
Alone,308,Protein,12.310232162475586
Alone,309,Protein,12.965130805969238
Alone,310,Protein,12.587945938110352
Alone,311,Protein,13.03998851776123
Alone,312,Protein,13.14473819732666
Alone,313,Protein,12.789335250854492
Alone,314,Protein,12.677125930786133
Alone,315,Protein,12.705673217773438
Alone,316,Protein,12.670778274536133
Alone,317,Protein,12.636495590209961
Alone,318,Protein,12.778786659240723
Alone,319,Protein,11.747649192810059
Alone,320,Protein,11.860761642456055
Alone,321,Protein,12.318482398986816
Alone,322,Protein,12.025732040405273
Alone,323,Protein,12.153265953063965
Alone,324,Protein,12.292248725891113
Alone,325,Protein,11.938780784606934
Alone,326,Protein,11.825952529907227
Alone,327,Protein,12.06468391418457
Alone,328,Protein,11.306602478027344
Alone,329,Protein,11.72567081451416
Alone,330,Protein,11.448488235473633
Alone,331,Protein,11.735315322875977
Alone,332,Protein,11.277345657348633
Alone,333,Protein,11.33830738067627
Alone,334,Protein,11.38391399383545
Alone,335,Protein,11.586101531982422
Alone,336,Protein,11.51828384399414
Alone,337,Protein,11.234527587890625
Alone,338,Protein,10.956781387329102
Alone,339,Protein,11.031813621520996
Alone,340,Protein,10.76265811920166
Alone,341,Protein,10.551959037780762
Alone,342,Protein,10.770903587341309
Alone,343,Protein,11.20436954498291
Alone,344,Protein,10.99648380279541
Alone,345,Protein,11.38007640838623
Alone,346,Protein,11.380268096923828
Alone,347,Protein,11.809871673583984
Alone,348,Protein,11.587111473083496
Alone,349,Protein,10.916829109191895
Alone,350,Protein,10.491339683532715
Alone,351,Protein,10.423937797546387
Alone,352,Protein,10.475747108459473
Alone,353,Protein,10.733413696289063
Alone,354,Protein,11.007198333740234
Alone,355,Protein,11.53901195526123
Alone,356,Protein,10.851129531860352
Alone,357,Protein,10.517098426818848
Alone,358,Protein,10.730685234069824
Alone,359,Protein,10.624411582946777
Alone,360,Protein,10.627341270446777
Alone,361,Protein,10.810038566589355
Alone,362,Protein,10.334548950195313
Alone,363,Protein,10.003643989562988
Alone,364,Protein,9.706594467163086
Alone,365,Protein,9.726086616516113
Alone,366,Protein,9.440265655517578
Alone,367,Protein,9.706396102905273
Alone,368,Protein,9.90264892578125
Alone,369,Protein,10.243514060974121
Alone,370,Protein,10.05885124206543
Alone,371,Protein,10.012882232666016
Alone,372,Protein,10.147891998291016
Alone,373,Protein,10.355857849121094
Alone,374,Protein,10.196215629577637
Alone,375,Protein,9.916935920715332
Alone,376,Protein,10.594913482666016
Alone,377,Protein,9.835561752319336
Alone,378,Protein,10.915567398071289
Alone,379,Protein,10.223089218139648
Alone,380,Protein,10.323735237121582
Alone,381,Protein,10.22516918182373
Alone,382,Protein,10.604938507080078
