FRAME,TYPE,RMSD
1,Protein,2.077785015106201
2,Protein,2.32719087600708
3,Protein,2.3700954914093018
4,Protein,3.123206377029419
5,Protein,3.50842547416687
6,Protein,3.8305866718292236
7,Protein,3.8915464878082275
8,Protein,4.285399913787842
9,Protein,4.047372341156006
10,Protein,4.062268257141113
11,Protein,4.236839294433594
12,Protein,3.781524419784546
13,Protein,3.969794511795044
14,Protein,4.477865219116211
15,Protein,3.9763176441192627
16,Protein,3.713247299194336
17,Protein,3.428572654724121
18,Protein,3.7976412773132324
19,Protein,3.8605711460113525
20,Protein,3.851686716079712
21,Protein,4.10018253326416
22,Protein,4.358514308929443
23,Protein,4.26245641708374
24,Protein,4.330338001251221
25,Protein,4.359629154205322
26,Protein,4.87865686416626
27,Protein,4.709931373596191
28,Protein,5.035624980926514
29,Protein,4.9222187995910645
30,Protein,5.28034782409668
31,Protein,5.170683860778809
32,Protein,4.888889789581299
33,Protein,4.950211048126221
34,Protein,4.874466419219971
35,Protein,5.3653106689453125
36,Protein,5.4987030029296875
37,Protein,5.504288673400879
38,Protein,5.976959705352783
39,Protein,5.281108379364014
40,Protein,5.5619401931762695
41,Protein,5.368159294128418
42,Protein,5.446577548980713
43,Protein,5.610574722290039
44,Protein,5.9239325523376465
45,Protein,6.039091110229492
46,Protein,5.696462154388428
47,Protein,5.747353553771973
48,Protein,6.099462509155273
49,Protein,5.995688438415527
50,Protein,6.098490238189697
51,Protein,5.609495162963867
52,Protein,5.209835529327393
53,Protein,5.329915523529053
54,Protein,5.3127031326293945
55,Protein,5.4906158447265625
56,Protein,4.991940498352051
57,Protein,5.034544944763184
58,Protein,5.098231315612793
59,Protein,5.257198810577393
60,Protein,5.852281093597412
61,Protein,5.772559642791748
62,Protein,6.2288289070129395
63,Protein,6.2064924240112305
64,Protein,5.768163681030273
65,Protein,6.234305381774902
66,Protein,6.09357213973999
67,Protein,6.538089275360107
68,Protein,6.254333972930908
69,Protein,6.170015811920166
70,Protein,5.74172306060791
71,Protein,6.012080192565918
72,Protein,7.013894557952881
73,Protein,7.5624213218688965
74,Protein,7.803590297698975
75,Protein,7.673303127288818
76,Protein,7.690307140350342
77,Protein,7.801785945892334
78,Protein,8.042645454406738
79,Protein,9.10266399383545
80,Protein,8.443007469177246
81,Protein,9.016996383666992
82,Protein,8.34875202178955
83,Protein,8.484640121459961
84,Protein,9.267644882202148
85,Protein,9.247640609741211
86,Protein,9.721850395202637
87,Protein,9.396842956542969
88,Protein,9.268939018249512
89,Protein,8.971573829650879
90,Protein,8.614859580993652
91,Protein,8.455901145935059
92,Protein,8.061516761779785
93,Protein,7.809627532958984
94,Protein,8.627827644348145
95,Protein,8.59024429321289
96,Protein,9.237874031066895
97,Protein,9.06466007232666
98,Protein,8.928908348083496
99,Protein,8.654596328735352
100,Protein,8.76915454864502
101,Protein,8.562244415283203
102,Protein,8.469817161560059
103,Protein,8.65973949432373
104,Protein,8.308626174926758
105,Protein,8.049683570861816
106,Protein,7.818506717681885
107,Protein,8.329991340637207
108,Protein,8.283698081970215
109,Protein,8.17360782623291
110,Protein,8.442469596862793
111,Protein,8.814169883728027
112,Protein,8.381574630737305
113,Protein,8.75516128540039
114,Protein,8.5424165725708
115,Protein,8.783846855163574
116,Protein,8.440336227416992
117,Protein,8.630306243896484
118,Protein,8.680386543273926
119,Protein,8.746466636657715
120,Protein,9.08009147644043
121,Protein,9.006684303283691
122,Protein,8.796972274780273
123,Protein,8.445863723754883
124,Protein,8.70175552368164
125,Protein,8.691879272460938
126,Protein,8.290140151977539
127,Protein,8.596208572387695
128,Protein,8.460221290588379
129,Protein,8.525484085083008
130,Protein,8.600112915039063
131,Protein,9.194198608398438
132,Protein,9.207448959350586
133,Protein,8.927791595458984
134,Protein,8.663410186767578
135,Protein,8.89164924621582
136,Protein,8.431273460388184
137,Protein,8.764391899108887
138,Protein,8.631174087524414
139,Protein,8.579062461853027
140,Protein,8.861682891845703
141,Protein,8.173487663269043
142,Protein,8.323051452636719
143,Protein,8.410783767700195
144,Protein,8.123860359191895
145,Protein,8.463983535766602
146,Protein,8.179807662963867
147,Protein,8.832259178161621
148,Protein,8.557923316955566
149,Protein,8.147247314453125
150,Protein,8.591611862182617
151,Protein,8.486848831176758
152,Protein,8.471046447753906
153,Protein,8.8765287399292
154,Protein,9.074490547180176
155,Protein,8.884016036987305
156,Protein,8.559231758117676
157,Protein,8.496063232421875
158,Protein,8.245970726013184
159,Protein,8.367177963256836
160,Protein,8.065887451171875
161,Protein,8.184972763061523
162,Protein,8.246837615966797
163,Protein,8.187529563903809
164,Protein,8.535905838012695
165,Protein,8.141213417053223
166,Protein,7.632004737854004
167,Protein,7.7939958572387695
168,Protein,7.396730899810791
169,Protein,7.751333236694336
170,Protein,7.3877692222595215
171,Protein,7.787815570831299
172,Protein,8.193487167358398
173,Protein,8.234458923339844
174,Protein,8.004936218261719
175,Protein,8.444940567016602
176,Protein,8.57106876373291
177,Protein,8.274232864379883
178,Protein,7.615623474121094
179,Protein,7.157827377319336
180,Protein,7.128214359283447
181,Protein,7.381808757781982
182,Protein,7.6396164894104
183,Protein,7.303385257720947
184,Protein,7.272732734680176
185,Protein,7.136440277099609
186,Protein,7.453360080718994
187,Protein,7.7362518310546875
188,Protein,7.29435920715332
189,Protein,7.517751693725586
190,Protein,7.925050735473633
191,Protein,7.79701042175293
192,Protein,7.896102428436279
193,Protein,7.769393444061279
194,Protein,7.138956546783447
195,Protein,7.196175575256348
196,Protein,7.546998500823975
197,Protein,7.4774980545043945
198,Protein,7.226332187652588
199,Protein,7.50391960144043
200,Protein,7.695343494415283
201,Protein,7.5741658210754395
202,Protein,7.2496514320373535
203,Protein,7.232552528381348
204,Protein,6.795731544494629
205,Protein,6.534347057342529
206,Protein,7.050514221191406
207,Protein,7.114681243896484
208,Protein,7.570504188537598
209,Protein,7.796822547912598
210,Protein,7.896182537078857
211,Protein,8.47462272644043
212,Protein,8.575346946716309
213,Protein,8.679082870483398
214,Protein,8.78981876373291
215,Protein,8.57589054107666
216,Protein,8.244720458984375
217,Protein,7.844247817993164
218,Protein,7.953001022338867
219,Protein,7.433177471160889
220,Protein,7.764794826507568
221,Protein,7.911035060882568
222,Protein,8.121442794799805
223,Protein,8.15652847290039
224,Protein,8.434014320373535
225,Protein,7.8061909675598145
226,Protein,8.223393440246582
227,Protein,8.513348579406738
228,Protein,8.433677673339844
229,Protein,8.395849227905273
230,Protein,8.671177864074707
231,Protein,8.351824760437012
232,Protein,8.377331733703613
233,Protein,8.827198028564453
234,Protein,8.551849365234375
235,Protein,8.936137199401855
236,Protein,8.435214042663574
237,Protein,8.834957122802734
238,Protein,8.266018867492676
239,Protein,7.947837829589844
240,Protein,7.981654167175293
241,Protein,8.004241943359375
242,Protein,8.211808204650879
243,Protein,8.470600128173828
244,Protein,8.374608993530273
245,Protein,8.481989860534668
246,Protein,8.475606918334961
247,Protein,8.653104782104492
248,Protein,8.392899513244629
249,Protein,8.325583457946777
250,Protein,8.38071346282959
251,Protein,8.181201934814453
252,Protein,8.116093635559082
253,Protein,8.251340866088867
254,Protein,8.34704303741455
255,Protein,8.735209465026855
256,Protein,8.643832206726074
257,Protein,8.89572525024414
258,Protein,8.517349243164063
259,Protein,8.976263046264648
260,Protein,9.274491310119629
261,Protein,9.54316520690918
262,Protein,9.54478645324707
263,Protein,9.833227157592773
264,Protein,9.59658145904541
265,Protein,9.564288139343262
266,Protein,9.5011568069458
267,Protein,9.39257526397705
268,Protein,9.69966983795166
269,Protein,9.286263465881348
270,Protein,9.410956382751465
271,Protein,9.478899955749512
272,Protein,9.311127662658691
273,Protein,9.573246002197266
274,Protein,9.627394676208496
275,Protein,9.900361061096191
276,Protein,9.997000694274902
277,Protein,9.567367553710938
278,Protein,9.841569900512695
279,Protein,9.23720932006836
280,Protein,9.083253860473633
281,Protein,8.885942459106445
282,Protein,9.312455177307129
283,Protein,9.34405517578125
284,Protein,9.154727935791016
285,Protein,9.330039024353027
286,Protein,9.372784614562988
287,Protein,9.136384010314941
288,Protein,9.250328063964844
289,Protein,9.305068969726563
290,Protein,8.97563648223877
291,Protein,8.707362174987793
292,Protein,8.652849197387695
293,Protein,9.070735931396484
294,Protein,9.183636665344238
295,Protein,9.199782371520996
296,Protein,9.28596019744873
297,Protein,9.322622299194336
298,Protein,9.18218994140625
299,Protein,9.528604507446289
300,Protein,9.42357063293457
301,Protein,9.633772850036621
302,Protein,9.397305488586426
303,Protein,9.551480293273926
304,Protein,9.199414253234863
305,Protein,8.991753578186035
306,Protein,8.726396560668945
307,Protein,8.613388061523438
308,Protein,9.093960762023926
309,Protein,9.121180534362793
310,Protein,8.937283515930176
311,Protein,9.178065299987793
312,Protein,9.007888793945313
313,Protein,8.832233428955078
314,Protein,9.222344398498535
315,Protein,9.122735023498535
316,Protein,9.298243522644043
317,Protein,9.625591278076172
318,Protein,9.742757797241211
319,Protein,9.453448295593262
320,Protein,9.52736759185791
321,Protein,9.667510986328125
322,Protein,9.629955291748047
323,Protein,9.556998252868652
324,Protein,9.614864349365234
325,Protein,9.733357429504395
326,Protein,10.306763648986816
327,Protein,10.948348999023438
328,Protein,11.595725059509277
329,Protein,11.42765998840332
330,Protein,11.651832580566406
331,Protein,11.28919506072998
332,Protein,11.248727798461914
333,Protein,10.68462085723877
334,Protein,10.917725563049316
335,Protein,10.940109252929688
336,Protein,11.122315406799316
337,Protein,10.950881004333496
338,Protein,11.037261962890625
339,Protein,11.126374244689941
340,Protein,10.560975074768066
341,Protein,10.921436309814453
342,Protein,10.95739459991455
343,Protein,11.100303649902344
344,Protein,10.759998321533203
345,Protein,10.657331466674805
346,Protein,10.86549186706543
347,Protein,11.466229438781738
348,Protein,11.768577575683594
349,Protein,11.35870361328125
350,Protein,11.721817016601563
351,Protein,11.003266334533691
352,Protein,11.093600273132324
353,Protein,11.0836763381958
354,Protein,11.739853858947754
355,Protein,12.248148918151855
356,Protein,12.520757675170898
357,Protein,12.187556266784668
358,Protein,12.48896598815918
359,Protein,13.090495109558105
360,Protein,12.941187858581543
361,Protein,12.61607837677002
362,Protein,12.207929611206055
363,Protein,12.30863094329834
364,Protein,12.07388973236084
365,Protein,11.589706420898438
366,Protein,11.223384857177734
367,Protein,11.951787948608398
368,Protein,12.178196907043457
369,Protein,11.707853317260742
370,Protein,11.732009887695313
371,Protein,11.487634658813477
372,Protein,11.338351249694824
373,Protein,11.145073890686035
374,Protein,11.298810958862305
375,Protein,11.499826431274414
376,Protein,11.684879302978516
377,Protein,12.570101737976074
378,Protein,11.967751502990723
379,Protein,12.026808738708496
380,Protein,12.232902526855469
381,Protein,12.507613182067871
382,Protein,12.375629425048828
383,Protein,12.69017219543457
384,Protein,12.399195671081543
385,Protein,12.731188774108887
386,Protein,13.002398490905762
387,Protein,13.060002326965332
388,Protein,12.803646087646484
389,Protein,13.23050594329834
390,Protein,13.12275505065918
391,Protein,12.799286842346191
392,Protein,12.238296508789063
393,Protein,12.59306812286377
394,Protein,11.958745956420898
395,Protein,11.180289268493652
396,Protein,11.724215507507324
397,Protein,11.842031478881836
398,Protein,11.723072052001953
399,Protein,11.763880729675293
400,Protein,11.719292640686035
401,Protein,11.810833930969238
402,Protein,12.48362922668457
403,Protein,12.461705207824707
404,Protein,12.716595649719238
405,Protein,11.942394256591797
406,Protein,11.6685152053833
407,Protein,11.446728706359863
408,Protein,12.041525840759277
409,Protein,12.092362403869629
410,Protein,12.872653007507324
411,Protein,12.738866806030273
412,Protein,12.65407657623291
413,Protein,12.542987823486328
414,Protein,12.433899879455566
415,Protein,12.722552299499512
416,Protein,13.231569290161133
417,Protein,12.066238403320313
418,Protein,12.75656795501709
419,Protein,13.497193336486816
420,Protein,13.432584762573242
421,Protein,13.10968017578125
422,Protein,13.038216590881348
423,Protein,13.292969703674316
424,Protein,13.2352933883667
425,Protein,13.45423412322998
426,Protein,13.81963062286377
427,Protein,13.86160659790039
428,Protein,13.702790260314941
429,Protein,13.340557098388672
430,Protein,12.491415977478027
431,Protein,12.757989883422852
432,Protein,12.951383590698242
433,Protein,12.888453483581543
434,Protein,12.879434585571289
435,Protein,13.240823745727539
436,Protein,12.492265701293945
437,Protein,12.367460250854492
438,Protein,11.871343612670898
439,Protein,11.819177627563477
440,Protein,11.71403694152832
441,Protein,11.768380165100098
442,Protein,12.38768482208252
443,Protein,12.319872856140137
444,Protein,12.579239845275879
445,Protein,13.234457015991211
446,Protein,13.745365142822266
447,Protein,14.142327308654785
448,Protein,14.056663513183594
449,Protein,13.289097785949707
450,Protein,13.591153144836426
451,Protein,13.278213500976563
452,Protein,13.677348136901855
453,Protein,13.207695960998535
454,Protein,13.17599868774414
455,Protein,13.500911712646484
456,Protein,13.547441482543945
457,Protein,14.092643737792969
458,Protein,13.611642837524414
459,Protein,13.903550148010254
460,Protein,13.793087005615234
461,Protein,13.847075462341309
462,Protein,14.003823280334473
463,Protein,13.593588829040527
464,Protein,13.394472122192383
465,Protein,13.59328842163086
466,Protein,13.463062286376953
467,Protein,12.898731231689453
468,Protein,12.82016372680664
469,Protein,12.150012016296387
470,Protein,12.131364822387695
471,Protein,12.243292808532715
472,Protein,12.486226081848145
473,Protein,12.402606010437012
474,Protein,11.967842102050781
475,Protein,12.149993896484375
476,Protein,12.705608367919922
477,Protein,12.319278717041016
478,Protein,12.447407722473145
479,Protein,12.67727279663086
480,Protein,12.816242218017578
481,Protein,12.732950210571289
482,Protein,12.536711692810059
483,Protein,12.511795043945313
484,Protein,12.927471160888672
485,Protein,13.199756622314453
486,Protein,12.863225936889648
487,Protein,12.89136791229248
488,Protein,13.017973899841309
489,Protein,13.493559837341309
490,Protein,13.567856788635254
491,Protein,13.084010124206543
492,Protein,13.629276275634766
493,Protein,13.621630668640137
494,Protein,13.68011474609375
495,Protein,13.90048885345459
496,Protein,14.281835556030273
497,Protein,14.571800231933594
498,Protein,14.782005310058594
499,Protein,14.469204902648926
500,Protein,14.662564277648926
501,Protein,14.452733039855957
502,Protein,13.998345375061035
503,Protein,14.331053733825684
504,Protein,14.718043327331543
505,Protein,15.094842910766602
506,Protein,15.036554336547852
507,Protein,15.267136573791504
508,Protein,15.440824508666992
509,Protein,15.553106307983398
510,Protein,15.952195167541504
511,Protein,15.499750137329102
512,Protein,16.008480072021484
513,Protein,16.03508186340332
514,Protein,15.507944107055664
515,Protein,15.183419227600098
516,Protein,16.242542266845703
517,Protein,15.759838104248047
518,Protein,15.472982406616211
519,Protein,15.811558723449707
520,Protein,15.701250076293945
521,Protein,15.697999954223633
522,Protein,15.746452331542969
523,Protein,15.48559856414795
524,Protein,15.78125286102295
525,Protein,15.92085075378418
526,Protein,16.263397216796875
527,Protein,16.2735595703125
528,Protein,16.428922653198242
529,Protein,16.378433227539063
530,Protein,16.60747718811035
531,Protein,16.354585647583008
532,Protein,17.26267433166504
533,Protein,16.828208923339844
534,Protein,17.18337059020996
535,Protein,16.732877731323242
536,Protein,16.488882064819336
537,Protein,16.346084594726563
538,Protein,16.34385871887207
539,Protein,16.550247192382813
540,Protein,16.137304306030273
541,Protein,16.23859977722168
542,Protein,16.686094284057617
543,Protein,16.318199157714844
544,Protein,16.47974967956543
545,Protein,16.394763946533203
546,Protein,15.52031421661377
547,Protein,15.9334135055542
548,Protein,15.601783752441406
549,Protein,15.469653129577637
550,Protein,15.242106437683105
551,Protein,15.531904220581055
552,Protein,15.07857894897461
553,Protein,15.363581657409668
554,Protein,15.146637916564941
555,Protein,15.422987937927246
556,Protein,15.32591438293457
557,Protein,15.14515209197998
558,Protein,15.113574981689453
559,Protein,14.904419898986816
560,Protein,15.103374481201172
561,Protein,14.93344783782959
562,Protein,15.34244155883789
563,Protein,15.339540481567383
564,Protein,15.634642601013184
565,Protein,15.877203941345215
566,Protein,16.20186996459961
567,Protein,16.33701515197754
568,Protein,16.334320068359375
569,Protein,15.539172172546387
570,Protein,15.775468826293945
571,Protein,15.76384162902832
572,Protein,16.348976135253906
573,Protein,16.323299407958984
574,Protein,15.79262638092041
575,Protein,15.870972633361816
576,Protein,15.928325653076172
577,Protein,16.232250213623047
578,Protein,16.300575256347656
579,Protein,16.7396183013916
580,Protein,16.724164962768555
581,Protein,16.908428192138672
582,Protein,16.40587615966797
583,Protein,16.667890548706055
584,Protein,16.277353286743164
585,Protein,15.775686264038086
586,Protein,15.727749824523926
587,Protein,15.073990821838379
588,Protein,15.95101547241211
589,Protein,15.696503639221191
590,Protein,16.055034637451172
591,Protein,15.688509941101074
592,Protein,15.725421905517578
593,Protein,15.737750053405762
594,Protein,15.604822158813477
595,Protein,15.629060745239258
596,Protein,15.693395614624023
597,Protein,16.24890899658203
598,Protein,15.98685073852539
599,Protein,16.505216598510742
600,Protein,16.659523010253906
601,Protein,16.825321197509766
602,Protein,16.38890838623047
603,Protein,15.95953369140625
604,Protein,15.404692649841309
605,Protein,15.156153678894043
606,Protein,15.451756477355957
607,Protein,14.863121032714844
608,Protein,15.13408374786377
609,Protein,15.230474472045898
610,Protein,15.525518417358398
611,Protein,15.298145294189453
612,Protein,15.038668632507324
