Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -4119.01      -592.781      -4711.8       -4711.8       
1             1             -4216.13      -611.252      -4827.38      -4827.38      
2             2             -4195.49      -614.292      -4809.78      -4809.78      
3             3             -3990.85      -556.782      -4547.63      -4547.63      
4             4             -4065.81      -667.445      -4733.26      -4733.26      
5             5             -4086.67      -599.686      -4686.36      -4686.36      
6             6             -4090.4       -611.016      -4701.42      -4701.42      
7             7             -4352.99      -598.374      -4951.36      -4951.36      
8             8             -4192.13      -606.541      -4798.67      -4798.67      
9             9             -4290.49      -574.796      -4865.28      -4865.28      
10            10            -4271.41      -577.708      -4849.11      -4849.11      
11            11            -4184.88      -569.682      -4754.56      -4754.56      
12            12            -4203.66      -582.828      -4786.49      -4786.49      
13            13            -4167.81      -586.227      -4754.04      -4754.04      
14            14            -4278.32      -559.56       -4837.88      -4837.88      
15            15            -4311.28      -602.828      -4914.11      -4914.11      
16            16            -4382.45      -632.175      -5014.62      -5014.62      
17            17            -4338.2       -622.5        -4960.7       -4960.7       
18            18            -4423.86      -596.153      -5020.02      -5020.02      
19            19            -4447.42      -545.972      -4993.4       -4993.4       
20            20            -4310.86      -588.828      -4899.69      -4899.69      
21            21            -4247.68      -674.885      -4922.56      -4922.56      
22            22            -4396.97      -599.757      -4996.73      -4996.73      
23            23            -4330.87      -557.548      -4888.42      -4888.42      
24            24            -4326.23      -567.947      -4894.18      -4894.18      
25            25            -4403.12      -576.787      -4979.91      -4979.91      
26            26            -4347.96      -592.952      -4940.92      -4940.92      
27            27            -4379.43      -587.742      -4967.17      -4967.17      
28            28            -4264.34      -569.97       -4834.31      -4834.31      
29            29            -4418.89      -597.747      -5016.64      -5016.64      
30            30            -4389.53      -614.772      -5004.3       -5004.3       
31            31            -4297.33      -607.301      -4904.63      -4904.63      
32            32            -4381.47      -613.127      -4994.6       -4994.6       
33            33            -4383.8       -583.387      -4967.19      -4967.19      
34            34            -4464.4       -618.648      -5083.05      -5083.05      
35            35            -4330.04      -553.13       -4883.17      -4883.17      
36            36            -4232.11      -569.004      -4801.12      -4801.12      
37            37            -4472.88      -582.567      -5055.45      -5055.45      
38            38            -4377.23      -542.903      -4920.13      -4920.13      
39            39            -4437.23      -567.215      -5004.44      -5004.44      
40            40            -4400.23      -560.856      -4961.09      -4961.09      
41            41            -4366.11      -566.257      -4932.37      -4932.37      
42            42            -4264.83      -618.563      -4883.39      -4883.39      
43            43            -4307.24      -620.759      -4928         -4928         
44            44            -4414.07      -599.3        -5013.37      -5013.37      
45            45            -4436.41      -562.661      -4999.07      -4999.07      
46            46            -4380.21      -569.568      -4949.78      -4949.78      
47            47            -4260.04      -597.721      -4857.76      -4857.76      
48            48            -4248.55      -594.501      -4843.05      -4843.05      
49            49            -4267.77      -576.909      -4844.68      -4844.68      
50            50            -4235.82      -661.405      -4897.23      -4897.23      
51            51            -4140.91      -605.786      -4746.69      -4746.69      
52            52            -4133.64      -637.952      -4771.59      -4771.59      
53            53            -4220.27      -591.188      -4811.45      -4811.45      
54            54            -4352.98      -597.39       -4950.37      -4950.37      
55            55            -4190.72      -616.286      -4807.01      -4807.01      
56            56            -4238.7       -589.032      -4827.73      -4827.73      
57            57            -4214.04      -615.45       -4829.49      -4829.49      
58            58            -4229.37      -642.044      -4871.42      -4871.42      
59            59            -4195.15      -589.153      -4784.31      -4784.31      
