TYPE,FRAME, RADIOG
Protein, 1, 24.604811822448887
Complex, 1, 24.56042916992046
Protein, 2, 24.624547450867027
Complex, 2, 24.58122535953172
Protein, 3, 24.6706505588153
Complex, 3, 24.628185433299652
Protein, 4, 24.6343856699694
Complex, 4, 24.591448648632294
Protein, 5, 24.60425155324461
Complex, 5, 24.560186809210066
Protein, 6, 24.56479410976311
Complex, 6, 24.520590166157778
Protein, 7, 24.92311578050399
Complex, 7, 24.8829679252439
Protein, 8, 24.630920782688527
Complex, 8, 24.586758127982492
Protein, 9, 24.66612419720209
Complex, 9, 24.623268106426483
Protein, 10, 24.680616066718812
Complex, 10, 24.639736552192712
Protein, 11, 24.757371207027337
Complex, 11, 24.7142947349084
Protein, 12, 24.50408903515188
Complex, 12, 24.45928345672949
Protein, 13, 24.982850525628976
Complex, 13, 24.936743576458067
Protein, 14, 25.03288304804294
Complex, 14, 24.98742961025189
Protein, 15, 25.069576023540407
Complex, 15, 25.023640622617055
Protein, 16, 24.868993060485472
Complex, 16, 24.823979548673442
Protein, 17, 24.923015445307787
Complex, 17, 24.877159540779616
Protein, 18, 24.275843725359394
Complex, 18, 24.227821498053604
Protein, 19, 24.350359542422062
Complex, 19, 24.3041454472421
Protein, 20, 24.212929339448706
Complex, 20, 24.166112397715388
Protein, 21, 24.207290226412155
Complex, 21, 24.166767428314433
Protein, 22, 24.15794052431937
Complex, 22, 24.119060369392958
Protein, 23, 23.96798652917447
Complex, 23, 23.918995028462312
Protein, 24, 23.98326626981573
Complex, 24, 23.94105981999431
Protein, 25, 23.85743588238363
Complex, 25, 23.82349198861117
Protein, 26, 23.921464517296624
Complex, 26, 23.883698586274207
Protein, 27, 23.882644039975556
Complex, 27, 23.851414835957076
Protein, 28, 23.786173633601297
Complex, 28, 23.747840537245413
Protein, 29, 24.202217441291346
Complex, 29, 24.17020709347162
Protein, 30, 24.237987475590636
Complex, 30, 24.201849442623285
Protein, 31, 24.054909656449553
Complex, 31, 24.02788521472323
Protein, 32, 24.13627218795794
Complex, 32, 24.100072862704632
Protein, 33, 24.23444403563017
Complex, 33, 24.19534777296519
Protein, 34, 24.269652616824143
Complex, 34, 24.23195925200765
Protein, 35, 24.659681946996262
Complex, 35, 24.615839304599856
Protein, 36, 24.312431877372077
Complex, 36, 24.276219024015298
Protein, 37, 23.96885426613857
Complex, 37, 23.932998506318786
Protein, 38, 23.988309524124595
Complex, 38, 23.948591675459053
Protein, 39, 23.582380737828206
Complex, 39, 23.550463882981933
Protein, 40, 23.514762975523126
Complex, 40, 23.477271213748296
Protein, 41, 23.233097781014557
Complex, 41, 23.197359506750107
Protein, 42, 23.63408163618569
Complex, 42, 23.59309206091814
Protein, 43, 23.79492985223214
Complex, 43, 23.76096844833053
Protein, 44, 23.788260003394743
Complex, 44, 23.74792658282374
Protein, 45, 23.8055116143749
Complex, 45, 23.759425165059405
Protein, 46, 23.898643761150076
Complex, 46, 23.855128592017987
Protein, 47, 23.809767214778397
Complex, 47, 23.767557151429198
Protein, 48, 24.04118922861368
Complex, 48, 23.997517381944395
Protein, 49, 24.12066377818695
Complex, 49, 24.078265682171
Protein, 50, 24.083643459280598
Complex, 50, 24.0438117413079
Protein, 51, 24.128909672094764
Complex, 51, 24.089199141689733
Protein, 52, 24.481746892607056
Complex, 52, 24.438327696383855
Protein, 53, 24.39800493990746
Complex, 53, 24.357427331422475
Protein, 54, 23.86427819017229
Complex, 54, 23.826085372813377
Protein, 55, 24.285906694040865
Complex, 55, 24.244510429995284
Protein, 56, 24.338949569470714
Complex, 56, 24.29928177548465
Protein, 57, 24.534776098797447
Complex, 57, 24.494151455195418
Protein, 58, 24.40000234567029
Complex, 58, 24.3595111102898
Protein, 59, 24.41971329719078
Complex, 59, 24.382770234254885
Protein, 60, 24.019892220536853
Complex, 60, 23.98052265975121
Protein, 61, 23.948953873555524
Complex, 61, 23.90982713860521
Protein, 62, 23.64941822650348
Complex, 62, 23.610660801422643
Protein, 63, 23.8322703579103
Complex, 63, 23.80052952881317
Protein, 64, 23.4458052837833
Complex, 64, 23.41247928854171
Protein, 65, 23.674921052324542
Complex, 65, 23.63902668972095
Protein, 66, 23.98412000234126
Complex, 66, 23.942812958800737
Protein, 67, 24.2347843460432
Complex, 67, 24.19853223979577
Protein, 68, 23.949979475673075
Complex, 68, 23.91623745403143
Protein, 69, 24.061470699395446
Complex, 69, 24.02364204219039
Protein, 70, 24.083750478219656
Complex, 70, 24.043850618664933
Protein, 71, 24.183510738529776
Complex, 71, 24.14195858042875
Protein, 72, 24.50009390871432
Complex, 72, 24.455708707047894
Protein, 73, 24.694013001700608
Complex, 73, 24.650286284410747
Protein, 74, 24.70928556986612
Complex, 74, 24.667523168308197
Protein, 75, 24.968438419159586
