POSE, TYPE, FRAME, RADIOG
sw06_Complex, Protein, 1, 24.604811822448887
sw06_Complex, Complex, 1, 24.56042916992046
sw06_Complex, Protein, 2, 24.624547450867027
sw06_Complex, Complex, 2, 24.58122535953172
sw06_Complex, Protein, 3, 24.6706505588153
sw06_Complex, Complex, 3, 24.628185433299652
sw06_Complex, Protein, 4, 24.6343856699694
sw06_Complex, Complex, 4, 24.591448648632294
sw06_Complex, Protein, 5, 24.60425155324461
sw06_Complex, Complex, 5, 24.560186809210066
sw06_Complex, Protein, 6, 24.56479410976311
sw06_Complex, Complex, 6, 24.520590166157778
sw06_Complex, Protein, 7, 24.92311578050399
sw06_Complex, Complex, 7, 24.8829679252439
sw06_Complex, Protein, 8, 24.630920782688527
sw06_Complex, Complex, 8, 24.586758127982492
sw06_Complex, Protein, 9, 24.66612419720209
sw06_Complex, Complex, 9, 24.623268106426483
sw06_Complex, Protein, 10, 24.680616066718812
sw06_Complex, Complex, 10, 24.639736552192712
sw06_Complex, Protein, 11, 24.757371207027337
sw06_Complex, Complex, 11, 24.7142947349084
sw06_Complex, Protein, 12, 24.50408903515188
sw06_Complex, Complex, 12, 24.45928345672949
sw06_Complex, Protein, 13, 24.982850525628976
sw06_Complex, Complex, 13, 24.936743576458067
sw06_Complex, Protein, 14, 25.03288304804294
sw06_Complex, Complex, 14, 24.98742961025189
sw06_Complex, Protein, 15, 25.069576023540407
sw06_Complex, Complex, 15, 25.023640622617055
sw06_Complex, Protein, 16, 24.868993060485472
sw06_Complex, Complex, 16, 24.823979548673442
sw06_Complex, Protein, 17, 24.923015445307787
sw06_Complex, Complex, 17, 24.877159540779616
sw06_Complex, Protein, 18, 24.275843725359394
sw06_Complex, Complex, 18, 24.227821498053604
sw06_Complex, Protein, 19, 24.350359542422062
sw06_Complex, Complex, 19, 24.3041454472421
sw06_Complex, Protein, 20, 24.212929339448706
sw06_Complex, Complex, 20, 24.166112397715388
sw06_Complex, Protein, 21, 24.207290226412155
sw06_Complex, Complex, 21, 24.166767428314433
sw06_Complex, Protein, 22, 24.15794052431937
sw06_Complex, Complex, 22, 24.119060369392958
sw06_Complex, Protein, 23, 23.96798652917447
sw06_Complex, Complex, 23, 23.918995028462312
sw06_Complex, Protein, 24, 23.98326626981573
sw06_Complex, Complex, 24, 23.94105981999431
sw06_Complex, Protein, 25, 23.85743588238363
sw06_Complex, Complex, 25, 23.82349198861117
sw06_Complex, Protein, 26, 23.921464517296624
sw06_Complex, Complex, 26, 23.883698586274207
sw06_Complex, Protein, 27, 23.882644039975556
sw06_Complex, Complex, 27, 23.851414835957076
sw06_Complex, Protein, 28, 23.786173633601297
sw06_Complex, Complex, 28, 23.747840537245413
sw06_Complex, Protein, 29, 24.202217441291346
sw06_Complex, Complex, 29, 24.17020709347162
sw06_Complex, Protein, 30, 24.237987475590636
sw06_Complex, Complex, 30, 24.201849442623285
sw06_Complex, Protein, 31, 24.054909656449553
sw06_Complex, Complex, 31, 24.02788521472323
sw06_Complex, Protein, 32, 24.13627218795794
sw06_Complex, Complex, 32, 24.100072862704632
sw06_Complex, Protein, 33, 24.23444403563017
sw06_Complex, Complex, 33, 24.19534777296519
sw06_Complex, Protein, 34, 24.269652616824143
sw06_Complex, Complex, 34, 24.23195925200765
sw06_Complex, Protein, 35, 24.659681946996262
sw06_Complex, Complex, 35, 24.615839304599856
sw06_Complex, Protein, 36, 24.312431877372077
sw06_Complex, Complex, 36, 24.276219024015298
sw06_Complex, Protein, 37, 23.96885426613857
sw06_Complex, Complex, 37, 23.932998506318786
sw06_Complex, Protein, 38, 23.988309524124595
sw06_Complex, Complex, 38, 23.948591675459053
sw06_Complex, Protein, 39, 23.582380737828206
sw06_Complex, Complex, 39, 23.550463882981933
sw06_Complex, Protein, 40, 23.514762975523126
sw06_Complex, Complex, 40, 23.477271213748296
sw06_Complex, Protein, 41, 23.233097781014557
sw06_Complex, Complex, 41, 23.197359506750107
sw06_Complex, Protein, 42, 23.63408163618569
sw06_Complex, Complex, 42, 23.59309206091814
sw06_Complex, Protein, 43, 23.79492985223214
sw06_Complex, Complex, 43, 23.76096844833053
sw06_Complex, Protein, 44, 23.788260003394743
sw06_Complex, Complex, 44, 23.74792658282374
sw06_Complex, Protein, 45, 23.8055116143749
sw06_Complex, Complex, 45, 23.759425165059405
sw06_Complex, Protein, 46, 23.898643761150076
sw06_Complex, Complex, 46, 23.855128592017987
sw06_Complex, Protein, 47, 23.809767214778397
sw06_Complex, Complex, 47, 23.767557151429198
sw06_Complex, Protein, 48, 24.04118922861368
sw06_Complex, Complex, 48, 23.997517381944395
sw06_Complex, Protein, 49, 24.12066377818695
sw06_Complex, Complex, 49, 24.078265682171
sw06_Complex, Protein, 50, 24.083643459280598
sw06_Complex, Complex, 50, 24.0438117413079
sw06_Complex, Protein, 51, 24.128909672094764
sw06_Complex, Complex, 51, 24.089199141689733
sw06_Complex, Protein, 52, 24.481746892607056
sw06_Complex, Complex, 52, 24.438327696383855
sw06_Complex, Protein, 53, 24.39800493990746
sw06_Complex, Complex, 53, 24.357427331422475
sw06_Complex, Protein, 54, 23.86427819017229
sw06_Complex, Complex, 54, 23.826085372813377
sw06_Complex, Protein, 55, 24.285906694040865
sw06_Complex, Complex, 55, 24.244510429995284
sw06_Complex, Protein, 56, 24.338949569470714
sw06_Complex, Complex, 56, 24.29928177548465
sw06_Complex, Protein, 57, 24.534776098797447
sw06_Complex, Complex, 57, 24.494151455195418
sw06_Complex, Protein, 58, 24.40000234567029
sw06_Complex, Complex, 58, 24.3595111102898
sw06_Complex, Protein, 59, 24.41971329719078
sw06_Complex, Complex, 59, 24.382770234254885
sw06_Complex, Protein, 60, 24.019892220536853
sw06_Complex, Complex, 60, 23.98052265975121
sw06_Complex, Protein, 61, 23.948953873555524
sw06_Complex, Complex, 61, 23.90982713860521
sw06_Complex, Protein, 62, 23.64941822650348
sw06_Complex, Complex, 62, 23.610660801422643
sw06_Complex, Protein, 63, 23.8322703579103
sw06_Complex, Complex, 63, 23.80052952881317
sw06_Complex, Protein, 64, 23.4458052837833
sw06_Complex, Complex, 64, 23.41247928854171
sw06_Complex, Protein, 65, 23.674921052324542
sw06_Complex, Complex, 65, 23.63902668972095
sw06_Complex, Protein, 66, 23.98412000234126
sw06_Complex, Complex, 66, 23.942812958800737
sw06_Complex, Protein, 67, 24.2347843460432
sw06_Complex, Complex, 67, 24.19853223979577
sw06_Complex, Protein, 68, 23.949979475673075
sw06_Complex, Complex, 68, 23.91623745403143
sw06_Complex, Protein, 69, 24.061470699395446
