POSE, TYPE, FRAME, RADIOG
Full, Protein, 1, 24.604811822448887
Full, Complex, 1, 24.56042916992046
Full, Protein, 2, 24.624547450867027
Full, Complex, 2, 24.58122535953172
Full, Protein, 3, 24.6706505588153
Full, Complex, 3, 24.628185433299652
Full, Protein, 4, 24.6343856699694
Full, Complex, 4, 24.591448648632294
Full, Protein, 5, 24.60425155324461
Full, Complex, 5, 24.560186809210066
Full, Protein, 6, 24.56479410976311
Full, Complex, 6, 24.520590166157778
Full, Protein, 7, 24.92311578050399
Full, Complex, 7, 24.8829679252439
Full, Protein, 8, 24.630920782688527
Full, Complex, 8, 24.586758127982492
Full, Protein, 9, 24.66612419720209
Full, Complex, 9, 24.623268106426483
Full, Protein, 10, 24.680616066718812
Full, Complex, 10, 24.639736552192712
Full, Protein, 11, 24.757371207027337
Full, Complex, 11, 24.7142947349084
Full, Protein, 12, 24.50408903515188
Full, Complex, 12, 24.45928345672949
Full, Protein, 13, 24.982850525628976
Full, Complex, 13, 24.936743576458067
Full, Protein, 14, 25.03288304804294
Full, Complex, 14, 24.98742961025189
Full, Protein, 15, 25.069576023540407
Full, Complex, 15, 25.023640622617055
Full, Protein, 16, 24.868993060485472
Full, Complex, 16, 24.823979548673442
Full, Protein, 17, 24.923015445307787
Full, Complex, 17, 24.877159540779616
Full, Protein, 18, 24.275843725359394
Full, Complex, 18, 24.227821498053604
Full, Protein, 19, 24.350359542422062
Full, Complex, 19, 24.3041454472421
Full, Protein, 20, 24.212929339448706
Full, Complex, 20, 24.166112397715388
Full, Protein, 21, 24.207290226412155
Full, Complex, 21, 24.166767428314433
Full, Protein, 22, 24.15794052431937
Full, Complex, 22, 24.119060369392958
Full, Protein, 23, 23.96798652917447
Full, Complex, 23, 23.918995028462312
Full, Protein, 24, 23.98326626981573
Full, Complex, 24, 23.94105981999431
Full, Protein, 25, 23.85743588238363
Full, Complex, 25, 23.82349198861117
Full, Protein, 26, 23.921464517296624
Full, Complex, 26, 23.883698586274207
Full, Protein, 27, 23.882644039975556
Full, Complex, 27, 23.851414835957076
Full, Protein, 28, 23.786173633601297
Full, Complex, 28, 23.747840537245413
Full, Protein, 29, 24.202217441291346
Full, Complex, 29, 24.17020709347162
Full, Protein, 30, 24.237987475590636
Full, Complex, 30, 24.201849442623285
Full, Protein, 31, 24.054909656449553
Full, Complex, 31, 24.02788521472323
Full, Protein, 32, 24.13627218795794
Full, Complex, 32, 24.100072862704632
Full, Protein, 33, 24.23444403563017
Full, Complex, 33, 24.19534777296519
Full, Protein, 34, 24.269652616824143
Full, Complex, 34, 24.23195925200765
Full, Protein, 35, 24.659681946996262
Full, Complex, 35, 24.615839304599856
Full, Protein, 36, 24.312431877372077
Full, Complex, 36, 24.276219024015298
Full, Protein, 37, 23.96885426613857
Full, Complex, 37, 23.932998506318786
Full, Protein, 38, 23.988309524124595
Full, Complex, 38, 23.948591675459053
Full, Protein, 39, 23.582380737828206
Full, Complex, 39, 23.550463882981933
Full, Protein, 40, 23.514762975523126
Full, Complex, 40, 23.477271213748296
Full, Protein, 41, 23.233097781014557
Full, Complex, 41, 23.197359506750107
Full, Protein, 42, 23.63408163618569
Full, Complex, 42, 23.59309206091814
Full, Protein, 43, 23.79492985223214
Full, Complex, 43, 23.76096844833053
Full, Protein, 44, 23.788260003394743
Full, Complex, 44, 23.74792658282374
Full, Protein, 45, 23.8055116143749
Full, Complex, 45, 23.759425165059405
Full, Protein, 46, 23.898643761150076
Full, Complex, 46, 23.855128592017987
Full, Protein, 47, 23.809767214778397
Full, Complex, 47, 23.767557151429198
Full, Protein, 48, 24.04118922861368
Full, Complex, 48, 23.997517381944395
Full, Protein, 49, 24.12066377818695
Full, Complex, 49, 24.078265682171
Full, Protein, 50, 24.083643459280598
Full, Complex, 50, 24.0438117413079
Full, Protein, 51, 24.128909672094764
Full, Complex, 51, 24.089199141689733
Full, Protein, 52, 24.481746892607056
Full, Complex, 52, 24.438327696383855
Full, Protein, 53, 24.39800493990746
Full, Complex, 53, 24.357427331422475
Full, Protein, 54, 23.86427819017229
Full, Complex, 54, 23.826085372813377
Full, Protein, 55, 24.285906694040865
Full, Complex, 55, 24.244510429995284
Full, Protein, 56, 24.338949569470714
Full, Complex, 56, 24.29928177548465
Full, Protein, 57, 24.534776098797447
Full, Complex, 57, 24.494151455195418
Full, Protein, 58, 24.40000234567029
Full, Complex, 58, 24.3595111102898
Full, Protein, 59, 24.41971329719078
Full, Complex, 59, 24.382770234254885
Full, Protein, 60, 24.019892220536853
Full, Complex, 60, 23.98052265975121
Full, Protein, 61, 23.948953873555524
Full, Complex, 61, 23.90982713860521
Full, Protein, 62, 23.64941822650348
Full, Complex, 62, 23.610660801422643
Full, Protein, 63, 23.8322703579103
Full, Complex, 63, 23.80052952881317
Full, Protein, 64, 23.4458052837833
Full, Complex, 64, 23.41247928854171
Full, Protein, 65, 23.674921052324542
Full, Complex, 65, 23.63902668972095
Full, Protein, 66, 23.98412000234126
Full, Complex, 66, 23.942812958800737
Full, Protein, 67, 24.2347843460432
Full, Complex, 67, 24.19853223979577
Full, Protein, 68, 23.949979475673075
Full, Complex, 68, 23.91623745403143
Full, Protein, 69, 24.061470699395446
Full, Complex, 69, 24.02364204219039
Full, Protein, 70, 24.083750478219656
Full, Complex, 70, 24.043850618664933
Full, Protein, 71, 24.183510738529776
Full, Complex, 71, 24.14195858042875
Full, Protein, 72, 24.50009390871432
Full, Complex, 72, 24.455708707047894
Full, Protein, 73, 24.694013001700608
Full, Complex, 73, 24.650286284410747
