"FRAME","SYSTEM","RMSD"
1,"RMSD",0.000494814128614962
2,"RMSD",1.81771624088287
3,"RMSD",2.03190517425537
4,"RMSD",1.93200945854187
5,"RMSD",2.83682084083557
6,"RMSD",3.2832350730896
7,"RMSD",3.60958671569824
8,"RMSD",3.69684147834778
9,"RMSD",4.16270589828491
10,"RMSD",3.85521197319031
11,"RMSD",3.7936680316925
12,"RMSD",4.01712274551392
13,"RMSD",3.56784963607788
14,"RMSD",3.67107033729553
15,"RMSD",4.31762504577637
16,"RMSD",3.68632531166077
17,"RMSD",3.38965606689453
18,"RMSD",3.09149527549744
19,"RMSD",3.34513139724731
20,"RMSD",3.44569206237793
21,"RMSD",3.42371106147766
22,"RMSD",3.66988110542297
23,"RMSD",3.9509289264679
24,"RMSD",3.87764978408813
25,"RMSD",4.00067901611328
26,"RMSD",4.0366325378418
27,"RMSD",4.510422706604
28,"RMSD",4.41478538513184
29,"RMSD",4.71085977554321
30,"RMSD",4.48516082763672
31,"RMSD",4.97871828079224
32,"RMSD",4.88006067276001
33,"RMSD",4.53246879577637
34,"RMSD",4.66353797912598
35,"RMSD",4.5150203704834
36,"RMSD",5.02565574645996
37,"RMSD",5.15697145462036
38,"RMSD",5.19785165786743
39,"RMSD",5.6534366607666
40,"RMSD",4.9073314666748
41,"RMSD",5.30648469924927
42,"RMSD",5.06757354736328
43,"RMSD",5.13602447509766
44,"RMSD",5.32294034957886
45,"RMSD",5.7763614654541
46,"RMSD",5.83549213409424
47,"RMSD",5.42170858383179
48,"RMSD",5.51722478866577
49,"RMSD",5.8296422958374
50,"RMSD",5.75869703292847
51,"RMSD",5.84168672561646
52,"RMSD",5.31813287734985
53,"RMSD",4.71112537384033
54,"RMSD",4.90358209609985
55,"RMSD",4.95966720581055
56,"RMSD",5.11431455612183
57,"RMSD",4.5761661529541
58,"RMSD",4.70926713943481
59,"RMSD",4.75566673278809
60,"RMSD",4.98539161682129
61,"RMSD",5.63316106796265
62,"RMSD",5.64666366577148
63,"RMSD",6.19035196304321
64,"RMSD",6.15835380554199
65,"RMSD",5.67988204956055
66,"RMSD",6.11770915985107
67,"RMSD",5.99088716506958
68,"RMSD",6.45814895629883
69,"RMSD",6.11016321182251
70,"RMSD",5.932692527771
71,"RMSD",5.53763055801392
72,"RMSD",5.87262630462646
73,"RMSD",6.94430351257324
74,"RMSD",7.57299518585205
75,"RMSD",7.88871049880981
76,"RMSD",7.68788862228394
77,"RMSD",7.729651927948
78,"RMSD",7.78108787536621
79,"RMSD",8.05649757385254
80,"RMSD",9.16969203948975
81,"RMSD",8.44815635681152
82,"RMSD",9.07058525085449
83,"RMSD",8.41994667053223
84,"RMSD",8.60886192321777
85,"RMSD",9.47644233703613
86,"RMSD",9.4735107421875
87,"RMSD",9.98355007171631
88,"RMSD",9.65466213226318
89,"RMSD",9.47422790527344
90,"RMSD",9.22433567047119
91,"RMSD",8.8649206161499
92,"RMSD",8.69034481048584
93,"RMSD",8.27816486358643
94,"RMSD",8.0243673324585
95,"RMSD",8.83780002593994
96,"RMSD",8.83074378967285
97,"RMSD",9.4884557723999
98,"RMSD",9.31290531158447
99,"RMSD",9.12493419647217
100,"RMSD",8.89457130432129
101,"RMSD",9.01562404632568
102,"RMSD",8.8210334777832
103,"RMSD",8.70102310180664
104,"RMSD",8.86514091491699
105,"RMSD",8.42585182189941
106,"RMSD",8.14799022674561
107,"RMSD",7.81175565719604
108,"RMSD",8.37554264068604
109,"RMSD",8.40563583374023
110,"RMSD",8.25466632843018
111,"RMSD",8.53010177612305
112,"RMSD",8.92413711547852
113,"RMSD",8.39998245239258
114,"RMSD",8.78787994384766
115,"RMSD",8.60319900512695
116,"RMSD",8.91484355926514
117,"RMSD",8.54154205322266
118,"RMSD",8.81053066253662
119,"RMSD",8.76434516906738
120,"RMSD",8.82305145263672
121,"RMSD",9.15738296508789
122,"RMSD",9.13572597503662
123,"RMSD",8.9462366104126
124,"RMSD",8.58861064910889
125,"RMSD",8.79758167266846
126,"RMSD",8.9254264831543
127,"RMSD",8.42511653900146
128,"RMSD",8.72125053405762
129,"RMSD",8.59251022338867
130,"RMSD",8.69983386993408
131,"RMSD",8.80394744873047
132,"RMSD",9.40935897827148
133,"RMSD",9.39074420928955
134,"RMSD",9.0552921295166
135,"RMSD",8.86547470092773
136,"RMSD",9.04867362976074
137,"RMSD",8.52295303344727
138,"RMSD",8.83368492126465
139,"RMSD",8.7287425994873
140,"RMSD",8.69701290130615
141,"RMSD",9.01643848419189
142,"RMSD",8.23337459564209
143,"RMSD",8.44840621948242
144,"RMSD",8.46184062957764
145,"RMSD",8.19995307922363
146,"RMSD",8.46605014801025
147,"RMSD",8.21460247039795
148,"RMSD",8.85150814056396
149,"RMSD",8.61546993255615
150,"RMSD",8.15783405303955
151,"RMSD",8.61866664886475
152,"RMSD",8.50935935974121
153,"RMSD",8.46012878417969
154,"RMSD",8.85490417480469
155,"RMSD",9.04996776580811
156,"RMSD",8.86189460754395
157,"RMSD",8.44762897491455
158,"RMSD",8.4111328125
159,"RMSD",8.16823673248291
160,"RMSD",8.20767021179199
161,"RMSD",7.82630920410156
162,"RMSD",7.91902446746826
163,"RMSD",7.86142110824585
164,"RMSD",7.83760690689087
165,"RMSD",8.23121738433838
166,"RMSD",7.86699628829956
167,"RMSD",7.26700592041016
168,"RMSD",7.4285192489624
169,"RMSD",7.04399681091309
170,"RMSD",7.43088245391846
171,"RMSD",6.91804695129395
172,"RMSD",7.33759307861328
173,"RMSD",7.71272039413452
174,"RMSD",7.7269606590271
175,"RMSD",7.56084394454956
176,"RMSD",8.01366996765137
177,"RMSD",8.0811128616333
178,"RMSD",7.89840221405029
179,"RMSD",7.18526840209961
180,"RMSD",6.62748670578003
181,"RMSD",6.59452247619629
182,"RMSD",6.92124938964844
183,"RMSD",7.31965923309326
184,"RMSD",6.89213800430298
185,"RMSD",6.87044095993042
186,"RMSD",6.77830219268799
187,"RMSD",7.08630609512329
188,"RMSD",7.39333009719849
189,"RMSD",6.98827219009399
190,"RMSD",7.20245933532715
191,"RMSD",7.68566274642944
192,"RMSD",7.46764039993286
193,"RMSD",7.59796047210693
