"FRAME","SYSTEM","RMSD"
1,"RMSD",0.000495318206958473
2,"RMSD",0.898983478546143
3,"RMSD",1.09993588924408
4,"RMSD",1.2263411283493
5,"RMSD",0.995968699455261
6,"RMSD",1.17212295532227
7,"RMSD",1.67293381690979
8,"RMSD",1.85004067420959
9,"RMSD",2.07939314842224
10,"RMSD",1.46611511707306
11,"RMSD",1.97616183757782
12,"RMSD",1.83206737041473
13,"RMSD",1.20132350921631
14,"RMSD",1.59906709194183
15,"RMSD",1.51231682300568
16,"RMSD",1.62878370285034
17,"RMSD",1.49106740951538
18,"RMSD",1.4320592880249
19,"RMSD",1.50271928310394
20,"RMSD",1.52307951450348
21,"RMSD",1.5737566947937
22,"RMSD",2.1536340713501
23,"RMSD",2.1418468952179
24,"RMSD",1.69715476036072
25,"RMSD",1.34970307350159
26,"RMSD",1.29586923122406
27,"RMSD",1.13719213008881
28,"RMSD",1.33742034435272
29,"RMSD",1.40722990036011
30,"RMSD",1.33665144443512
31,"RMSD",1.71040213108063
32,"RMSD",1.91658020019531
33,"RMSD",1.60339891910553
34,"RMSD",1.79825460910797
35,"RMSD",2.00396871566772
36,"RMSD",2.27275156974792
37,"RMSD",1.93461358547211
38,"RMSD",1.76972854137421
39,"RMSD",1.72056984901428
40,"RMSD",1.46978950500488
41,"RMSD",1.40944468975067
42,"RMSD",1.37758529186249
43,"RMSD",1.59145641326904
44,"RMSD",1.40769636631012
45,"RMSD",2.02507495880127
46,"RMSD",1.66137528419495
47,"RMSD",1.56069123744965
48,"RMSD",1.48592364788055
49,"RMSD",1.39780366420746
50,"RMSD",1.34192895889282
51,"RMSD",1.64218032360077
52,"RMSD",1.59295272827148
53,"RMSD",1.36024022102356
54,"RMSD",1.50040650367737
55,"RMSD",1.15647447109222
56,"RMSD",1.6717963218689
57,"RMSD",1.52212977409363
58,"RMSD",1.36553192138672
59,"RMSD",1.43203604221344
60,"RMSD",1.26668453216553
61,"RMSD",1.85263204574585
62,"RMSD",1.61639213562012
63,"RMSD",1.55227768421173
64,"RMSD",1.88328647613525
65,"RMSD",1.45020079612732
66,"RMSD",1.82505631446838
67,"RMSD",1.95337784290314
68,"RMSD",2.30614972114563
69,"RMSD",2.74284148216248
70,"RMSD",2.85767316818237
71,"RMSD",2.30055332183838
72,"RMSD",2.08169054985046
73,"RMSD",2.41315174102783
74,"RMSD",2.16640734672546
75,"RMSD",2.56679797172546
76,"RMSD",2.23118376731873
77,"RMSD",2.80340385437012
78,"RMSD",2.98826885223389
79,"RMSD",3.49585890769958
80,"RMSD",3.45138931274414
81,"RMSD",3.22813296318054
82,"RMSD",2.97269749641418
83,"RMSD",2.62475728988647
84,"RMSD",2.9763171672821
85,"RMSD",3.42731928825378
86,"RMSD",2.95247912406921
87,"RMSD",2.54697823524475
88,"RMSD",2.6743745803833
89,"RMSD",2.67193222045898
90,"RMSD",2.26827645301819
91,"RMSD",2.46338486671448
92,"RMSD",2.89606070518494
93,"RMSD",2.86912608146667
94,"RMSD",2.8071653842926
95,"RMSD",2.63227772712708
96,"RMSD",2.39545941352844
97,"RMSD",3.03235721588135
98,"RMSD",3.0728964805603
99,"RMSD",2.97604060173035
100,"RMSD",2.72954082489014
101,"RMSD",2.575923204422
102,"RMSD",2.38333559036255
103,"RMSD",2.79906392097473
104,"RMSD",3.2999222278595
105,"RMSD",2.88894367218018
106,"RMSD",2.27131342887878
107,"RMSD",1.88270103931427
108,"RMSD",1.79435884952545
109,"RMSD",1.96297991275787
110,"RMSD",2.07846069335938
111,"RMSD",1.80789709091187
112,"RMSD",1.60415625572205
113,"RMSD",1.52226340770721
114,"RMSD",2.18256831169128
115,"RMSD",2.50589036941528
116,"RMSD",2.12089395523071
117,"RMSD",2.17885494232178
118,"RMSD",1.93216025829315
119,"RMSD",1.90160608291626
120,"RMSD",1.67681729793549
121,"RMSD",1.96867406368256
122,"RMSD",1.98617124557495
123,"RMSD",2.15755343437195
124,"RMSD",2.07814836502075
