"FRAME","SYSTEM","RMSD"
1,"RMSD",0.00049242633394897
2,"RMSD",1.56734871864319
3,"RMSD",1.8915456533432
4,"RMSD",2.28589296340942
5,"RMSD",3.35444712638855
6,"RMSD",3.19501543045044
7,"RMSD",2.56933856010437
8,"RMSD",2.96374368667603
9,"RMSD",2.87215280532837
10,"RMSD",3.27271866798401
11,"RMSD",3.21935963630676
12,"RMSD",3.27716875076294
13,"RMSD",3.57601165771484
14,"RMSD",3.59790682792664
15,"RMSD",4.23999357223511
16,"RMSD",4.01917457580566
17,"RMSD",4.37936210632324
18,"RMSD",4.32876205444336
19,"RMSD",5.52731275558472
20,"RMSD",5.603515625
21,"RMSD",5.75675916671753
22,"RMSD",6.34340953826904
23,"RMSD",6.19737672805786
24,"RMSD",6.61587905883789
25,"RMSD",5.94404363632202
26,"RMSD",6.2612681388855
27,"RMSD",6.62127208709717
28,"RMSD",6.70108318328857
29,"RMSD",6.90801048278809
30,"RMSD",7.01003646850586
31,"RMSD",6.74561882019043
32,"RMSD",6.93224668502808
33,"RMSD",6.85152721405029
34,"RMSD",6.83156871795654
35,"RMSD",6.13515186309814
36,"RMSD",6.23699378967285
37,"RMSD",6.22763538360596
38,"RMSD",6.34576845169067
39,"RMSD",5.91647148132324
40,"RMSD",5.86812877655029
41,"RMSD",5.41645479202271
42,"RMSD",5.22886610031128
43,"RMSD",5.76420545578003
44,"RMSD",5.64869451522827
45,"RMSD",5.71847295761108
46,"RMSD",5.63885688781738
47,"RMSD",5.38565969467163
48,"RMSD",5.71288108825684
49,"RMSD",5.44264554977417
50,"RMSD",5.12768840789795
51,"RMSD",5.54636240005493
52,"RMSD",5.68404293060303
53,"RMSD",5.91434574127197
54,"RMSD",6.02590608596802
55,"RMSD",6.29109191894531
56,"RMSD",6.14374542236328
57,"RMSD",5.91504859924316
58,"RMSD",5.70247316360474
59,"RMSD",5.26326560974121
60,"RMSD",5.96039009094238
61,"RMSD",5.99396276473999
62,"RMSD",5.8756103515625
63,"RMSD",5.51049423217773
64,"RMSD",5.21355676651001
65,"RMSD",5.52061033248901
66,"RMSD",5.12898874282837
67,"RMSD",6.06675815582275
68,"RMSD",6.4643349647522
69,"RMSD",6.30142259597778
70,"RMSD",6.48757266998291
71,"RMSD",6.43614149093628
72,"RMSD",6.46567726135254
73,"RMSD",6.21106290817261
74,"RMSD",6.38980197906494
75,"RMSD",6.74730682373047
76,"RMSD",6.88405656814575
77,"RMSD",6.56456279754639
78,"RMSD",6.62390279769897
79,"RMSD",6.08187866210938
80,"RMSD",6.25223541259766
81,"RMSD",6.35476875305176
82,"RMSD",6.55077219009399
83,"RMSD",6.86923694610596
84,"RMSD",7.36453866958618
85,"RMSD",6.82522439956665
86,"RMSD",7.55586624145508
87,"RMSD",7.45764398574829
88,"RMSD",7.07717752456665
89,"RMSD",6.99878644943237
90,"RMSD",7.17886638641357
91,"RMSD",7.25241804122925
92,"RMSD",7.23929691314697
93,"RMSD",7.65733766555786
94,"RMSD",7.76556491851807
95,"RMSD",7.28182697296143
96,"RMSD",6.45390272140503
97,"RMSD",6.77674865722656
98,"RMSD",7.55420017242432
99,"RMSD",7.02976369857788
100,"RMSD",6.93253564834595
101,"RMSD",6.8005576133728
102,"RMSD",6.90365600585938
103,"RMSD",6.93145847320557
104,"RMSD",7.3414101600647
105,"RMSD",7.62915086746216
106,"RMSD",7.53682231903076
107,"RMSD",7.3276252746582
108,"RMSD",7.48487901687622
109,"RMSD",8.0748462677002
110,"RMSD",8.14506721496582
111,"RMSD",7.68792152404785
112,"RMSD",7.69572925567627
113,"RMSD",7.67231464385986
114,"RMSD",8.07635021209717
115,"RMSD",8.54843616485596
116,"RMSD",8.43151473999023
117,"RMSD",8.46895694732666
118,"RMSD",8.4182071685791
119,"RMSD",7.8320107460022
120,"RMSD",8.21479415893555
121,"RMSD",8.76537609100342
122,"RMSD",8.89471340179443
123,"RMSD",9.92074584960938
124,"RMSD",9.60672760009766
125,"RMSD",10.3836488723755
126,"RMSD",10.8250503540039
127,"RMSD",10.4851083755493
128,"RMSD",10.3155927658081
129,"RMSD",10.1260948181152
130,"RMSD",9.41045379638672
131,"RMSD",9.53414726257324
132,"RMSD",9.63986301422119
133,"RMSD",9.38680553436279
134,"RMSD",9.43810081481934
135,"RMSD",9.03489589691162
136,"RMSD",8.73945903778076
137,"RMSD",9.1152400970459
138,"RMSD",8.94169521331787
139,"RMSD",8.7126579284668
140,"RMSD",8.30037975311279
141,"RMSD",8.15301322937012
142,"RMSD",7.79121112823486
143,"RMSD",8.3167610168457
144,"RMSD",7.85812425613403
145,"RMSD",7.80603885650635
146,"RMSD",7.74060726165771
147,"RMSD",8.03046703338623
148,"RMSD",7.62701368331909
149,"RMSD",7.68572616577148
150,"RMSD",7.72802400588989
151,"RMSD",7.48783922195435
152,"RMSD",7.58592796325684
153,"RMSD",7.85732984542847
154,"RMSD",7.26481342315674
155,"RMSD",6.92672204971313
156,"RMSD",7.15023517608643
157,"RMSD",6.91961622238159
158,"RMSD",6.7400484085083
159,"RMSD",7.44552421569824
160,"RMSD",7.39865827560425
